pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
G Alpha (S) Signaling Events R-HSA-418555,Reactome,8,147,3.27,2.96,1.9,0.028497322828662044,"CPAMD8, GNB2, GNG12, GNG5, GPR25, NLRP3, PDE8A, PRKCA",0.2587625462660403
Integration Of Energy Metabolism R-HSA-163685,Reactome,6,101,3.57,2.48,1.9,0.028979350088542525,"GNB2, GNG12, GNG5, PPP2CA, PRKCA, STXBP1",0.2587625462660403
Glutamate Neurotransmitter Release Cycle R-HSA-210500,Reactome,2,22,5.47,1.0,1.89,0.029222728357913477,"PPFIA1, STXBP1",0.2587625462660403
E2F Mediated Regulation Of DNA Replication R-HSA-113510,Reactome,2,22,5.47,1.0,1.89,0.029222728357913477,"PPP2CA, TFDP1",0.2587625462660403
Dopamine Neurotransmitter Release Cycle R-HSA-212676,Reactome,2,22,5.47,1.0,1.89,0.029222728357913477,"PPFIA1, STXBP1",0.2587625462660403
Apoptotic Cleavage Of Cellular Proteins R-HSA-111465,Reactome,3,35,5.15,1.84,1.87,0.030788714991172625,"DSG3, PKP1, TJP1",0.26407993210141073
G1/S Transition R-HSA-69206,Reactome,6,126,2.86,1.63,1.86,0.031142690087526695,"PPP2CA, PSMC2, PSMC5, RPA4, SEM1, TFDP1",0.26407993210141073
GLI3 Is Processed To GLI3R By Proteasome R-HSA-5610785,Reactome,4,56,4.3,2.09,1.86,0.03126629432894663,"PRKCA, PSMC2, PSMC5, SEM1",0.26407993210141073
Degradation Of GLI2 By Proteasome R-HSA-5610783,Reactome,4,56,4.3,2.1,1.85,0.03180868024062666,"PRKCA, PSMC2, PSMC5, SEM1",0.26459038563793996
Regulation Of Insulin Secretion R-HSA-422356,Reactome,5,73,4.12,2.69,1.84,0.03311088897106677,"GNB2, GNG12, GNG5, PRKCA, STXBP1",0.2678714572858647
Downstream TCR Signaling R-HSA-202424,Reactome,5,88,3.42,1.91,1.84,0.033178978315917665,"CARD11, PSMC2, PSMC5, SEM1, TARP",0.2678714572858647
