pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Signaling By NOTCH R-HSA-157118,Reactome,8,195,2.47,1.79,1.79,0.036454754246644606,"GATD3, H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17, PTCRA",0.1129084749583576
Epigenetic Regulation Of Gene Expression R-HSA-212165,Reactome,6,112,3.22,2.33,1.77,0.038466756775451624,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.11687591745257307
Pancreatic secretion,KEGG,5,101,2.98,1.57,1.76,0.03921199025057501,"CELA2A, CELA2B, PRSS1, PRSS2, PRSS3",0.11687591745257307
NOTCH3 Intracellular Domain Regulates Transcription R-HSA-9013508,Reactome,2,24,5.01,1.0,1.76,0.0393080439862914,"GATD3, PTCRA",0.11687591745257307
Estrogen-dependent Gene Expression R-HSA-9018519,Reactome,6,114,3.17,2.38,1.72,0.04278034162820342,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.12552652872486003
Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,Reactome,5,86,3.5,2.33,1.7,0.044366835159657246,"CD300LD, FCGR2B, PILRA, SIGLEC10, SIGLEC11",0.1284909641636827
Aspirin ADME R-HSA-9749641,Reactome,3,36,5.01,2.17,1.69,0.045902105479349954,"GLYAT, UGT2A2, UGT2A3",0.13061320673537147
G2/M DNA Damage Checkpoint R-HSA-69473,Reactome,4,65,3.7,1.95,1.68,0.04627104633226164,"H2BC11, H2BC12, H2BC13, H2BC17",0.13061320673537147
Azathioprine ADME R-HSA-9748787,Reactome,2,17,7.08,1.96,1.65,0.04943245142138625,"GSTA1, GSTA2",0.13779295833711416
DNA Replication Pre-Initiation R-HSA-69002,Reactome,6,123,2.93,2.28,1.62,0.05246179301241599,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.14443184989837984
Phase II - Conjugation Of Compounds R-HSA-156580,Reactome,5,97,3.1,2.09,1.59,0.055644766791437525,"GLYAT, GSTA1, GSTA2, UGT2A2, UGT2A3",0.15132662188403131
Glucuronidation R-HSA-156588,Reactome,2,19,6.33,1.84,1.57,0.05842836458521094,"UGT2A2, UGT2A3",0.15698223256026553
Processing Of DNA Double-Strand Break Ends R-HSA-5693607,Reactome,4,73,3.3,1.95,1.5,0.06675369031950859,"H2BC11, H2BC12, H2BC13, H2BC17",0.17721515406250493
Ascorbate and aldarate metabolism,KEGG,2,24,5.01,1.41,1.48,0.06920500989300062,"UGT2A2, UGT2A3",0.18156137889575458
Protein digestion and absorption,KEGG,5,100,3.01,2.34,1.46,0.0727142424873349,"CELA2A, CELA2B, PRSS1, PRSS2, PRSS3",0.18854972179855448
