pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Neutrophil extracellular trap formation,KEGG,10,172,3.5,3.77,2.05,0.020078248199029702,"FCGR3B, H2BC11, H2BC13, H2BC17, H2BC9, H2BW1, H3C11, H3C6, H4C2, H4C5",0.13887455004328877
Deposition Of New CENPA-containing Nucleosomes At Centromere R-HSA-606279,Reactome,4,49,4.91,2.18,2.03,0.020928582742753905,"H2BC11, H2BC13, H2BC17, H2BC9",0.1417606879706602
HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567,Reactome,6,104,3.47,2.05,2.03,0.02134950120040063,"BRIP1, H2BC11, H2BC13, H2BC17, H2BC9, RTEL1",0.1417606879706602
Alcoholism,KEGG,10,176,3.42,3.77,2.01,0.02241172184740842,"H2BC11, H2BC13, H2BC17, H2BC9, H2BW1, H3C11, H3C6, H4C2, H4C5, SHC2",0.14433868056271962
Glutathione metabolism,KEGG,4,54,4.45,1.95,1.99,0.02337325963861383,"GSTA1, GSTA2, GSTT2, GSTT2B",0.14433868056271962
Recruitment And ATM-mediated Phosphorylation Of Repair And Signal Proteins At DNA Double Strand Breaks R-HSA-5693565,Reactome,4,55,4.37,1.89,1.98,0.02362207091623326,"H2BC11, H2BC13, H2BC17, H2BC9",0.14433868056271962
Meiotic Synapsis R-HSA-1221632,Reactome,4,55,4.37,1.89,1.98,0.02362207091623326,"H2BC11, H2BC13, H2BC17, H2BC9",0.14433868056271962
Type I diabetes mellitus,KEGG,3,33,5.47,1.81,1.98,0.023911528406474637,"HLA-DQA1, HLA-DQA2, HLA-DQB1",0.14433868056271962
DNA Double Strand Break Response R-HSA-5693606,Reactome,4,56,4.3,1.89,1.95,0.02536662301930627,"H2BC11, H2BC13, H2BC17, H2BC9",0.15038783647160145
Meiotic Recombination R-HSA-912446,Reactome,4,51,4.72,2.29,1.92,0.027185630444548036,"H2BC11, H2BC13, H2BC17, H2BC9",0.1518528919171533
Asthma,KEGG,3,26,6.94,2.72,1.92,0.027187775563289173,"HLA-DQA1, HLA-DQA2, HLA-DQB1",0.1518528919171533
B-WICH Complex Positively Regulates rRNA Expression R-HSA-5250924,Reactome,4,55,4.37,2.03,1.91,0.027749708130030172,"H2BC11, H2BC13, H2BC17, H2BC9",0.1518528919171533
Signaling To ERKs R-HSA-187687,Reactome,3,32,5.64,2.02,1.91,0.027772949486566605,"BCL11B, RALGDS, SHC2",0.1518528919171533
HDACs Deacetylate Histones R-HSA-3214815,Reactome,5,59,5.1,3.52,1.91,0.027900681948633585,"H2BC11, H2BC13, H2BC17, H2BC9, NCOR2",0.1518528919171533
Protein Folding R-HSA-391251,Reactome,5,91,3.3,1.66,1.9,0.028416417992344675,"KIF13A, TBCD, TUBA1A, TUBA1C, TUBA4B",0.1520240361844385
DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586,Reactome,4,58,4.15,1.89,1.9,0.029044707655620734,"H2BC11, H2BC13, H2BC17, H2BC9",0.1520240361844385
Homology Directed Repair R-HSA-5693538,Reactome,6,108,3.34,2.2,1.89,0.02952800496383992,"BRIP1, H2BC11, H2BC13, H2BC17, H2BC9, RTEL1",0.1520240361844385
RNA Polymerase I Promoter Escape R-HSA-73772,Reactome,4,56,4.3,2.04,1.88,0.029763742024061752,"H2BC11, H2BC13, H2BC17, H2BC9",0.1520240361844385
Phagosome,KEGG,6,135,2.67,1.4,1.86,0.03128818148397966,"FCGR3B, HLA-DQA1, HLA-DQA2, HLA-DQB1, TUBA1A, TUBA1C",0.15738903413153404
Signaling To RAS R-HSA-167044,Reactome,2,19,6.33,1.37,1.82,0.03472785479296757,"RALGDS, SHC2",0.1703567192726305
E3 Ubiquitin Ligases Ubiquitinate Target Proteins R-HSA-8866654,Reactome,4,48,5.01,2.86,1.81,0.03552755127023105,"H2BC11, H2BC13, H2BC17, H2BC9",0.1703567192726305
Resolution Of D-loop Structures Thru Synthesis-Dependent Strand Annealing (SDSA) R-HSA-5693554,Reactome,2,23,5.23,1.02,1.8,0.03566704521814818,"BRIP1, RTEL1",0.1703567192726305
Telomere Maintenance R-HSA-157579,Reactome,6,86,4.2,3.66,1.8,0.035918585388807635,"H2BC11, H2BC13, H2BC17, H2BC9, RTEL1, TERT",0.1703567192726305
Carboxyterminal Post-Translational Modifications Of Tubulin R-HSA-8955332,Reactome,3,39,4.63,1.7,1.78,0.03728572855339329,"AGBL2, TUBA1A, TUBA1C",0.17402922272092936
