pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957,Reactome,5,105,2.86,4.35,1.01,0.15592347599711576,"FAU, RPL13A, RPL15, RPS10, RSL24D1",0.39413989765937596
trans-Golgi Network Vesicle Budding R-HSA-199992,Reactome,3,65,2.78,1.91,1.0,0.15898926631903904,"CHMP2A, CLTA, RAB5C",0.3983863326596976
RNA Polymerase III Abortive And Retractive Initiation R-HSA-749476,Reactome,2,37,3.25,1.3,1.0,0.15906267494471443,"NFIA, NFIB",0.3983863326596976
Cell Cycle Checkpoints R-HSA-69620,Reactome,8,247,1.95,2.94,0.99,0.1604415337077431,"CDK2, CENPA, PAFAH1B1, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.4000049196549212
HSF1-dependent Transactivation R-HSA-3371571,Reactome,2,35,3.44,1.52,0.99,0.16194603488908194,"CAMK2A, MLST8",0.400874289096978
COPII-mediated Vesicle Transport R-HSA-204005,Reactome,3,63,2.86,2.12,0.99,0.16225864082496727,"MCFD2, TRAPPC4, TRAPPC6B",0.400874289096978
Spinocerebellar ataxia,KEGG,5,132,2.28,2.58,0.98,0.1632333656704577,"PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.4014658452976122
Aldosterone-regulated sodium reabsorption,KEGG,2,36,3.34,1.45,0.98,0.16417893095262276,"FXYD4, IGF1",0.40177675892247006
Influenza Viral RNA Transcription And Replication R-HSA-168273,Reactome,6,129,2.8,5.66,0.97,0.16483149083998772,"FAU, POLR2C, RPL13A, RPL15, RPS10, RSL24D1",0.40177675892247006
RAF/MAP Kinase Cascade R-HSA-5673001,Reactome,8,261,1.84,2.54,0.97,0.16648604663135924,"CAMK2A, DUSP6, FGF9, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.40352615263728603
Ribosome,KEGG,6,127,2.84,5.97,0.97,0.1670273086007814,"FAU, MRPS17, RPL13A, RPL15, RPS10, RSL24D1",0.40352615263728603
Intra-Golgi Traffic R-HSA-6811438,Reactome,2,38,3.17,1.32,0.96,0.16838993977402,"BET1L, RAB39A",0.40502602254015385
Developmental Biology R-HSA-1266738,Reactome,26,919,1.7,8.11,0.96,0.16977986887785723,"ARPC2, CDK2, CLTA, CSTA, FABP4, FAU, FGF9, HDAC3, KRTAP8-1, LHX2, MED20, MED27, MEF2C, PAX6, PFN1, POLR2C, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6, RPL13A, RPL15, RPS10, RSL24D1, SPINK6",0.40532509907061826
Signaling By Receptor Tyrosine Kinases R-HSA-9006934,Reactome,14,469,1.8,4.81,0.95,0.16999898843804317,"ATP6V0E2, ATP6V1D, ATP6V1G1, CLTA, DUSP6, FGF9, GABRA1, HDAC3, IGF1, MEF2C, MLST8, POLR2C, RALB, RNF41",0.40532509907061826
