pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
ER-Phagosome Pathway R-HSA-1236974,Reactome,2,79,1.52,2.15,0.11,0.4553212907233192,"SEC61A2, SEC61B",0.6518331601038294
MAPK Family Signaling Cascades R-HSA-5683057,Reactome,6,305,1.18,3.05,0.11,0.4557982810450477,"BTC, DUSP12, PRKCA, PTPN11, RASGRF1, SPTAN1",0.6518331601038294
Apical Junction,Hallmark,4,184,1.31,5.54,0.11,0.45678254015371944,"ADAM15, CDH3, KCNH2, RHOF",0.6518331601038294
Signaling By NOTCH R-HSA-157118,Reactome,4,195,1.23,1.79,0.11,0.45680218813386675,"H2BC5, MFNG, NCOR1, POFUT1",0.6518331601038294
UV Response Dn,Hallmark,3,137,1.32,1.89,0.11,0.4568106092580813,"CELF2, NR1D2, PRKCA",0.6518331601038294
CDC42 GTPase Cycle R-HSA-9013148,Reactome,3,135,1.34,2.54,0.11,0.45686181152756533,"ARHGAP20, FNBP1, IQGAP2",0.6518331601038294
Cell adhesion molecules,KEGG,3,134,1.35,3.36,0.1,0.45991001104723217,"CDH3, CLDN22, F11R",0.6518331601038294
Platelet Homeostasis R-HSA-418346,Reactome,2,81,1.48,1.94,0.1,0.46180885675689887,"ITPR1, PTPN11",0.6518331601038294
GPCR Downstream Signaling R-HSA-388396,Reactome,11,590,1.12,6.29,0.09,0.46402102910788723,"CRHR2, CXCR1, DAGLB, GNA14, GPSM2, HTR1B, ITPR1, PMCH, PRKCA, TAS2R20, TAS2R46",0.6518331601038294
Oxidative Phosphorylation,Hallmark,4,191,1.26,4.23,0.09,0.46422963959012375,"FXN, MTRF1, MTRR, NQO2",0.6518331601038294
Rheumatoid arthritis,KEGG,2,81,1.48,2.69,0.08,0.46756463360257405,"ATP6V1G3, FLT1",0.6518331601038294
Signaling By Interleukins R-HSA-449147,Reactome,8,433,1.11,2.1,0.08,0.46855452261510255,"DUSP3, IL4, MEF2A, PRKCA, PTPN11, STAT3, STAT5B, TIFA",0.6518331601038294
Neutrophil Degranulation R-HSA-6798695,Reactome,8,427,1.13,4.28,0.07,0.4704230958703297,"CAPN1, CPPED1, CXCR1, IQGAP2, OLFM4, PPIE, RHOF, SPTAN1",0.6518331601038294
Glucose Metabolism R-HSA-70326,Reactome,2,85,1.42,1.02,0.07,0.47090356375991055,"ENO1, PRKCA",0.6518331601038294
Hepatitis B,KEGG,3,142,1.27,1.63,0.07,0.4714549350833733,"PRKCA, STAT3, STAT5B",0.6518331601038294
IL-6/JAK/STAT3 Signaling,Hallmark,2,84,1.43,1.61,0.07,0.47226220161588994,"PTPN11, STAT3",0.6518331601038294
Staphylococcus aureus infection,KEGG,2,81,1.48,4.35,0.06,0.4744855028420523,"KRT33A, KRT38",0.6518331601038294
Signaling By TGF-beta Receptor Complex R-HSA-170834,Reactome,2,84,1.43,2.06,0.06,0.47544925270326505,"F11R, NCOR1",0.6518331601038294
Peptide Chain Elongation R-HSA-156902,Reactome,2,81,1.48,5.1,0.06,0.4764353733962537,"RPL22L1, RPL7A",0.6518331601038294
Cell Junction Organization R-HSA-446728,Reactome,2,83,1.45,3.22,0.06,0.4770616266792471,"CLDN22, F11R",0.6518331601038294
Cellular senescence,KEGG,3,143,1.26,1.97,0.06,0.47717334181656657,"CAPN1, CDC25A, ITPR1",0.6518331601038294
Signaling By ROBO Receptors R-HSA-376176,Reactome,4,197,1.22,5.0,0.06,0.4775592435283903,"PRKCA, RPL22L1, RPL7A, UPF3A",0.6518331601038294
Activation Of HOX Genes During Differentiation R-HSA-5619507,Reactome,2,83,1.45,3.37,0.06,0.4775992491164134,"H2BC5, NCOR1",0.6518331601038294
Axon Guidance R-HSA-422475,Reactome,9,491,1.1,5.51,0.05,0.47952859304277934,"ABLIM3, CNTN6, PRKCA, PTPN11, RPL22L1, RPL7A, SEMA7A, SPTAN1, UPF3A",0.6518331601038294
Organelle Biogenesis And Maintenance R-HSA-1852241,Reactome,5,258,1.17,4.12,0.05,0.47973921527459384,"IFT46, NCOR1, PRKCA, RAB11A, RAB8A",0.6518331601038294
Sensory Perception R-HSA-9709957,Reactome,10,546,1.1,11.02,0.04,0.4827512082082017,"CAPZB, EPS8, GPC6, OR10G9, OR4D10, OR5L1, PRKCA, SPTAN1, TAS2R20, TAS2R46",0.6518331601038294
Viral mRNA Translation R-HSA-192823,Reactome,2,84,1.43,4.58,0.04,0.48354255822706327,"RPL22L1, RPL7A",0.6518331601038294
Th1 and Th2 cell differentiation,KEGG,2,87,1.38,1.3,0.04,0.484296537349689,"IL4, STAT5B",0.6518331601038294
Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,Reactome,2,86,1.4,2.33,0.04,0.48452003553944967,"CD300LF, CXADR",0.6518331601038294
Peptide Hormone Metabolism R-HSA-2980736,Reactome,2,87,1.38,1.35,0.04,0.48460937909078056,"CRHR2, SLC30A6",0.6518331601038294
Eukaryotic Translation Termination R-HSA-72764,Reactome,2,85,1.42,4.04,0.04,0.4853810904868831,"RPL22L1, RPL7A",0.6518331601038294
Sphingolipid Metabolism R-HSA-428157,Reactome,2,87,1.38,1.52,0.04,0.48548611573935946,"GLB1L, GLTP",0.6518331601038294
Selenocysteine Synthesis R-HSA-2408557,Reactome,2,85,1.42,4.23,0.04,0.48570292233081686,"RPL22L1, RPL7A",0.6518331601038294
PD-L1 expression and PD-1 checkpoint pathway in cancer,KEGG,2,87,1.38,1.61,0.04,0.48590162857061486,"PTPN11, STAT3",0.6518331601038294
Phospholipase D signaling pathway,KEGG,3,145,1.24,2.83,0.03,0.48624026694427025,"CXCR1, PRKCA, PTPN11",0.6518331601038294
Neuronal System R-HSA-112316,Reactome,7,379,1.11,5.97,0.03,0.4868439563351643,"CACNA2D3, GABRB2, KCNH2, KCNJ6, PRKCA, RASGRF1, SH2D3C",0.6518331601038294
Eukaryotic Translation Elongation R-HSA-156842,Reactome,2,85,1.42,5.39,0.03,0.48733724135564477,"RPL22L1, RPL7A",0.6518331601038294
