pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Rap1 signaling pathway,KEGG,3,202,0.89,3.13,-0.11,0.54471788351001,"CRK, FGFR4, PFN3",0.7231684124298724
Shigellosis,KEGG,4,233,1.03,2.93,-0.11,0.544911806275604,"CRK, IFNB1, IL1R1, PFN3",0.7231684124298724
Infectious Disease R-HSA-5663205,Reactome,13,854,0.92,8.52,-0.11,0.5450929302895283,"CRK, CTSG, CXCR4, GPR176, H2BC12, IFNB1, IL1R1, MRPL13, MVB12A, PARP10, PSMB7, RPL12, ST6GALNAC3",0.7231684124298724
Selenoamino Acid Metabolism R-HSA-2408522,Reactome,2,108,1.11,3.65,-0.12,0.5465136160242486,"MRPL13, RPL12",0.7231684124298724
G2/M Checkpoints R-HSA-69481,Reactome,2,134,0.9,1.68,-0.12,0.547584714315971,"H2BC12, PSMB7",0.7231684124298724
HIV Infection R-HSA-162906,Reactome,3,208,0.87,4.12,-0.12,0.5490678428031733,"CXCR4, MVB12A, PSMB7",0.7231684124298724
Influenza Infection R-HSA-168255,Reactome,2,148,0.81,5.69,-0.12,0.5496750475449026,"MRPL13, RPL12",0.7231684124298724
Transmission Across Chemical Synapses R-HSA-112315,Reactome,4,240,1.0,3.88,-0.13,0.5504135530296566,"CHRNA6, GPRIN1, KCNJ2, UBD",0.7231684124298724
Pathways of neurodegeneration,KEGG,6,402,0.9,4.38,-0.13,0.5514212770696559,"DERL1, GPX3, NDUFB6, PSMB7, UCHL1, UQCRB",0.7231684124298724
"Platelet Activation, Signaling And Aggregation R-HSA-76002",Reactome,4,236,1.02,2.78,-0.13,0.5519227513218802,"CRK, DGKA, SERPINA4, STX4",0.7231684124298724
Adaptive Immune System R-HSA-1280218,Reactome,10,663,0.91,5.64,-0.13,0.553310751592708,"CD160, CD274, CD300LG, CTSS, CTSV, KLRC1, PIANP, PSMB7, RNF14, STX4",0.7231684124298724
UV Response Dn,Hallmark,2,137,0.88,1.89,-0.14,0.5540317221175781,"CCN1, DMAC2L",0.7231684124298724
Assembly Of Pre-Replicative Complex R-HSA-68867,Reactome,2,106,1.13,1.96,-0.14,0.5568664540371533,"H2BC12, PSMB7",0.7231684124298724
Pathways in cancer,KEGG,7,478,0.88,5.75,-0.14,0.5571410359178746,"BCL2L11, CRK, CXCR4, EDNRB, FGFR4, ITGA3, TXNRD2",0.7231684124298724
Cap-dependent Translation Initiation R-HSA-72737,Reactome,2,111,1.08,3.18,-0.14,0.5574113409097166,"MRPL13, RPL12",0.7231684124298724
TCF Dependent Signaling In Response To WNT R-HSA-201681,Reactome,3,177,1.02,3.21,-0.15,0.558152523829262,"H2BC12, PSMB7, RBBP5",0.7231684124298724
Oxidative phosphorylation,KEGG,2,112,1.07,3.33,-0.15,0.5584952697211368,"NDUFB6, UQCRB",0.7231684124298724
Chemokine signaling pathway,KEGG,3,174,1.04,2.53,-0.15,0.5585972204515588,"CRK, CXCR2, CXCR4",0.7231684124298724
