pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
G Alpha (I) Signaling Events R-HSA-418594,Reactome,10,300,2.0,4.17,1.01,0.1568793977464779,"PDE4C, PPBP, TAS2R10, TAS2R20, TAS2R30, TAS2R31, TAS2R46, TAS2R5, TAS2R50, TAS2R9",0.7087801195690981
Glutathione metabolism,KEGG,3,54,3.34,2.88,1.01,0.15715034325287697,"GSTM1, GSTM2, GSTM5",0.7087801195690981
Ub-specific Processing Proteases R-HSA-5689880,Reactome,5,157,1.92,1.62,0.93,0.17589555864476664,"BIRC2, H2AC11, H2BC18, H2BC3, H2BC4",0.7595228257215962
Phase I - Functionalization Of Compounds R-HSA-211945,Reactome,4,94,2.56,3.03,0.9,0.18391351105102655,"CYP11B1, CYP11B2, CYP2A13, CYP2A6",0.7595228257215962
Metabolic Disorders Of Biological Oxidation Enzymes R-HSA-5579029,Reactome,2,34,3.54,1.95,0.9,0.18415172675767977,"CYP11B1, CYP11B2",0.7595228257215962
Packaging Of Telomere Ends R-HSA-171306,Reactome,2,31,3.88,2.42,0.89,0.18675616634638764,"H2BC3, H2BC4",0.7595228257215962
Progesterone-mediated oocyte maturation,KEGG,4,90,2.67,3.47,0.89,0.18683831025122644,"SPDYE11, SPDYE15, SPDYE17, SPDYE4",0.7595228257215962
Metabolism Of Steroid Hormones R-HSA-196071,Reactome,2,35,3.44,1.95,0.87,0.19188676660699316,"CYP11B1, CYP11B2",0.7595228257215962
Cleavage Of Damaged Purine R-HSA-110331,Reactome,2,35,3.44,2.13,0.83,0.2027603227455177,"H2BC3, H2BC4",0.7595228257215962
HATs Acetylate Histones R-HSA-3214847,Reactome,4,97,2.48,3.36,0.82,0.2062331730423177,"H2AC11, H2BC18, H2BC3, H2BC4",0.7595228257215962
Cytosolic DNA-sensing pathway,KEGG,2,45,2.67,1.17,0.81,0.20818499023402637,"ADAR, CGAS",0.7595228257215962
Chemical carcinogenesis,KEGG,8,236,2.04,5.29,0.8,0.21256339702804394,"CYP2A13, CYP2A6, GSTM1, GSTM2, GSTM5, UGT1A6, UGT1A8, UGT2B28",0.7595228257215962
RNA Polymerase I Promoter Opening R-HSA-73728,Reactome,2,30,4.01,3.34,0.78,0.21700672015215705,"H2BC3, H2BC4",0.7595228257215962
Activated PKN1 Stimulates Transcription Of Androgen Receptor Regulated KLK2 And KLK3 R-HSA-5625886,Reactome,2,34,3.54,2.59,0.78,0.21794385651220105,"H2BC3, H2BC4",0.7595228257215962
SIRT1 Negatively Regulates rRNA Expression R-HSA-427359,Reactome,2,35,3.44,2.46,0.77,0.21943189680558078,"H2BC3, H2BC4",0.7595228257215962
Ovarian steroidogenesis,KEGG,2,48,2.51,1.16,0.74,0.23082464302686595,"ACOT2, PLA2G4C",0.7595228257215962
Bile secretion,KEGG,3,80,2.26,2.03,0.72,0.23561935210303275,"UGT1A6, UGT1A8, UGT2B28",0.7595228257215962
"Gamma Carboxylation, Hypusine Formation And Arylsulfatase Activation R-HSA-163841",Reactome,2,41,2.93,1.94,0.72,0.23634692433705734,"ARSF, ARSH",0.7595228257215962
Assembly Of ORC Complex At Origin Of Replication R-HSA-68616,Reactome,2,36,3.34,2.87,0.69,0.24379596647101925,"H2BC3, H2BC4",0.7595228257215962
Cleavage Of Damaged Pyrimidine R-HSA-110329,Reactome,2,40,3.01,2.22,0.69,0.24415395915240384,"H2BC3, H2BC4",0.7595228257215962
Transcriptional Regulation By Small RNAs R-HSA-5578749,Reactome,3,72,2.51,3.07,0.69,0.2461912961134956,"H2BC3, H2BC4, POM121",0.7595228257215962
ABC transporters,KEGG,2,44,2.73,1.76,0.68,0.2468901889280321,"ABCB5, ABCC12",0.7595228257215962
Nonhomologous End-Joining (NHEJ) R-HSA-5693571,Reactome,2,44,2.73,1.82,0.67,0.2505184571121727,"H2BC3, H2BC4",0.7595228257215962
"Base-Excision Repair, AP Site Formation R-HSA-73929",Reactome,2,42,2.86,2.16,0.66,0.25482080152896514,"H2BC3, H2BC4",0.7595228257215962
PRC2 Methylates Histones And DNA R-HSA-212300,Reactome,2,40,3.01,2.57,0.65,0.2593429174117453,"H2BC3, H2BC4",0.7595228257215962
Oocyte meiosis,KEGG,4,113,2.13,3.47,0.64,0.26015381123774306,"SPDYE11, SPDYE15, SPDYE17, SPDYE4",0.7595228257215962
Inhibition Of DNA Recombination At Telomere R-HSA-9670095,Reactome,2,45,2.67,1.93,0.63,0.2637708866988502,"H2BC3, H2BC4",0.7595228257215962
Defective Pyroptosis R-HSA-9710421,Reactome,2,40,3.01,2.69,0.63,0.2641270314724595,"H2BC3, H2BC4",0.7595228257215962
Glycosphingolipid Metabolism R-HSA-1660662,Reactome,2,45,2.67,1.94,0.63,0.2644085626471232,"ARSF, ARSH",0.7595228257215962
Condensation Of Prophase Chromosomes R-HSA-2299718,Reactome,2,41,2.93,2.53,0.63,0.2646301247989272,"H2BC3, H2BC4",0.7595228257215962
Regulated Necrosis R-HSA-5218859,Reactome,2,53,2.27,1.26,0.59,0.2762306115923625,"BIRC2, CASP5",0.7826533995116938
Deposition Of New CENPA-containing Nucleosomes At Centromere R-HSA-606279,Reactome,2,49,2.45,2.18,0.52,0.301780059692556,"H2BC3, H2BC4",0.8185841467238447
ERCC6 (CSB) And EHMT2 (G9a) Positively Regulate rRNA Expression R-HSA-427389,Reactome,2,43,2.8,3.5,0.5,0.30817657432203566,"H2BC3, H2BC4",0.8185841467238447
Recruitment And ATM-mediated Phosphorylation Of Repair And Signal Proteins At DNA Double Strand Breaks R-HSA-5693565,Reactome,2,55,2.19,1.66,0.48,0.3154718236032764,"H2BC3, H2BC4",0.8185841467238447
Arachidonic acid metabolism,KEGG,2,56,2.15,1.55,0.48,0.3160559784499395,"PLA2G4C, PRXL2B",0.8185841467238447
Meiotic Synapsis R-HSA-1221632,Reactome,2,55,2.19,1.7,0.47,0.3178124577445065,"H2BC3, H2BC4",0.8185841467238447
Meiotic Recombination R-HSA-912446,Reactome,2,51,2.36,2.29,0.47,0.3181154160062255,"H2BC3, H2BC4",0.8185841467238447
E3 Ubiquitin Ligases Ubiquitinate Target Proteins R-HSA-8866654,Reactome,2,48,2.51,2.86,0.47,0.31956446318199216,"H2BC3, H2BC4",0.8185841467238447
DNA Double Strand Break Response R-HSA-5693606,Reactome,2,56,2.15,1.83,0.44,0.32992788725768096,"H2BC3, H2BC4",0.8185841467238447
B-WICH Complex Positively Regulates rRNA Expression R-HSA-5250924,Reactome,2,55,2.19,2.03,0.43,0.33227830938845626,"H2BC3, H2BC4",0.8185841467238447
RHO GTPases Activate PKNs R-HSA-5625740,Reactome,2,54,2.23,2.29,0.42,0.3357422787528705,"H2BC3, H2BC4",0.8185841467238447
DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586,Reactome,2,58,2.07,1.71,0.42,0.33666003121909555,"H2BC3, H2BC4",0.8185841467238447
RNA Polymerase I Promoter Escape R-HSA-73772,Reactome,2,56,2.15,2.04,0.42,0.3382473711857872,"H2BC3, H2BC4",0.8185841467238447
Mitotic Prophase R-HSA-68875,Reactome,3,107,1.69,1.95,0.39,0.34769461233908616,"H2BC3, H2BC4, POM121",0.8185841467238447
Transcriptional Regulation Of Granulopoiesis R-HSA-9616222,Reactome,2,56,2.15,2.49,0.38,0.3529098237743733,"H2BC3, H2BC4",0.8185841467238447
Gene Silencing By RNA R-HSA-211000,Reactome,3,103,1.75,2.66,0.37,0.35438623166156086,"H2BC3, H2BC4, POM121",0.8185841467238447
G2/M DNA Damage Checkpoint R-HSA-69473,Reactome,2,65,1.85,1.24,0.37,0.35710847549955327,"H2BC3, H2BC4",0.8185841467238447
Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722,Reactome,2,56,2.15,2.8,0.36,0.3608943755821315,"H2BC3, H2BC4",0.8185841467238447
Pre-NOTCH Transcription And Translation R-HSA-1912408,Reactome,2,60,2.0,2.14,0.35,0.3642696911712559,"H2BC3, H2BC4",0.8185841467238447
Serotonergic synapse,KEGG,3,109,1.66,2.4,0.33,0.36928497746766187,"HTR3C, HTR3E, PLA2G4C",0.8185841467238447
RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459,Reactome,2,59,2.04,2.54,0.33,0.36981182444782873,"H2BC3, H2BC4",0.8185841467238447
Epigenetic Regulation Of Gene Expression R-HSA-212165,Reactome,3,112,1.61,2.33,0.31,0.37825728849310764,"DNMT3L, H2BC3, H2BC4",0.8185841467238447
Metabolism Of Vitamins And Cofactors R-HSA-196854,Reactome,4,174,1.38,1.69,0.28,0.3903893202041475,"AKR1C4, BCO2, RBP1, SLC52A1",0.8185841467238447
Deubiquitination R-HSA-5688426,Reactome,5,228,1.32,1.8,0.28,0.39141673475521493,"BIRC2, H2AC11, H2BC18, H2BC3, H2BC4",0.8185841467238447
Diseases Of Programmed Cell Death R-HSA-9645723,Reactome,2,68,1.77,2.03,0.25,0.4028147102590005,"H2BC3, H2BC4",0.8185841467238447
