pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Role Of GTSE1 In G2/M Progression After G2 Checkpoint R-HSA-8852276,Reactome,4,57,4.22,2.41,1.71,0.0440677634103563,"CDK1, PSMA1, PSMA3, PSMB2",0.3213197521560986
Mitotic G2-G2/M Phases R-HSA-453274,Reactome,8,173,2.78,2.64,1.7,0.04437679045951177,"CDK1, CDK2, LIN52, MZT1, PAFAH1B1, PSMA1, PSMA3, PSMB2",0.3213197521560986
RNA transport,KEGG,7,159,2.65,2.0,1.7,0.0446230170274353,"EIF2S1, EIF3I, EIF4E2, NXT1, SAP18, SUMO1, THOC7",0.3213197521560986
SCF(Skp2)-mediated Degradation Of P27/P21 R-HSA-187577,Reactome,4,57,4.22,2.45,1.69,0.045247223699491156,"CDK2, PSMA1, PSMA3, PSMB2",0.3213197521560986
SARS-CoV-1 Infection R-HSA-9678108,Reactome,3,45,4.01,1.46,1.69,0.045296438334207684,"CAV1, CHMP2A, SUMO1",0.3213197521560986
PTEN Regulation R-HSA-6807070,Reactome,7,132,3.19,3.05,1.68,0.04607766926417892,"AGO1, LAMTOR1, MLST8, PSMA1, PSMA3, PSMB2, RNF2",0.3213197521560986
N-Glycan biosynthesis,KEGG,3,50,3.61,1.21,1.68,0.04634003359559577,"DAD1, DPM2, DPM3",0.3213197521560986
SHC-mediated cascade:FGFR1 R-HSA-5654688,Reactome,2,20,6.01,1.48,1.68,0.04635575546921275,"FGF13, FGF9",0.3213197521560986
SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,Reactome,7,103,4.09,4.87,1.68,0.04671497711409577,"RPL18, RPL21, RPL23A, RPLP2, RPS10, SRP54, SSR2",0.3213197521560986
PI-3K cascade:FGFR2 R-HSA-5654695,Reactome,2,23,5.23,1.19,1.67,0.047240040024033154,"FGF13, FGF9",0.3213197521560986
FGFR2 Mutant Receptor Activation R-HSA-1839126,Reactome,3,32,5.64,2.68,1.66,0.04819103939452405,"FGF13, FGF9, POLR2C",0.3213197521560986
Diabetic cardiomyopathy,KEGG,8,177,2.72,2.64,1.66,0.04863422639732134,"ATP5MC1, COX5A, COX7A1, COX7A2, MPC1, MPC2, SLC25A4, UQCRH",0.3213197521560986
Orc1 Removal From Chromatin R-HSA-68949,Reactome,4,67,3.59,1.91,1.65,0.0491906399364301,"CDK2, PSMA1, PSMA3, PSMB2",0.3213197521560986
APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143,Reactome,5,85,3.54,2.52,1.65,0.049216229643627776,"CDK1, CDK2, PSMA1, PSMA3, PSMB2",0.3213197521560986
RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459,Reactome,4,59,4.08,2.54,1.61,0.053350537413017596,"AGO1, DPY30, PRMT1, RBBP5",0.3441897686552053
Formation Of A Pool Of Free 40S Subunits R-HSA-72689,Reactome,6,93,3.88,4.1,1.59,0.056161021480037224,"EIF3I, RPL18, RPL21, RPL23A, RPLP2, RPS10",0.3441897686552053
FRS-mediated FGFR2 Signaling R-HSA-5654700,Reactome,2,24,5.01,1.23,1.58,0.05657965447357966,"FGF13, FGF9",0.3441897686552053
mRNA Splicing - Minor Pathway R-HSA-72165,Reactome,3,44,4.1,1.74,1.58,0.05667111215152077,"POLR2C, SNRNP25, SNRNP40",0.3441897686552053
Negative Regulation Of FGFR3 Signaling R-HSA-5654732,Reactome,2,27,4.45,1.0,1.58,0.056686560501655305,"FGF13, FGF9",0.3441897686552053
Signaling By NOTCH4 R-HSA-9013694,Reactome,4,78,3.08,1.53,1.58,0.056950253657956446,"APH1A, PSMA1, PSMA3, PSMB2",0.3441897686552053
DARPP-32 Events R-HSA-180024,Reactome,2,23,5.23,1.34,1.57,0.05784164572211991,"PPP3CA, PRKAR1A",0.3441897686552053
p53-Dependent G1 DNA Damage Response R-HSA-69563,Reactome,4,62,3.88,2.44,1.57,0.05798234951474394,"CDK2, PSMA1, PSMA3, PSMB2",0.3441897686552053
G1/S DNA Damage Checkpoints R-HSA-69615,Reactome,4,64,3.76,2.31,1.57,0.058172918645950186,"CDK2, PSMA1, PSMA3, PSMB2",0.3441897686552053
Negative Regulation Of NOTCH4 Signaling R-HSA-9604323,Reactome,3,50,3.61,1.4,1.56,0.05931123540384969,"PSMA1, PSMA3, PSMB2",0.34670736700112503
SHC-mediated cascade:FGFR2 R-HSA-5654699,Reactome,2,22,5.47,1.49,1.55,0.060273487012474036,"FGF13, FGF9",0.34670736700112503
MAPK6/MAPK4 Signaling R-HSA-5687128,Reactome,5,85,3.54,2.86,1.55,0.06042962910759045,"AGO1, CDK1, PSMA1, PSMA3, PSMB2",0.34670736700112503
PD-L1 expression and PD-1 checkpoint pathway in cancer,KEGG,4,87,2.77,1.26,1.54,0.061738839075631824,"BATF, CSNK2A1, KRAS, PPP3CA",0.34855398816102745
Cyclin A/B1/B2 Associated Events During G2/M Transition R-HSA-69273,Reactome,2,23,5.23,1.41,1.54,0.061978790148351705,"CDK1, CDK2",0.34855398816102745
Cross-presentation Of Soluble Exogenous Antigens (Endosomes) R-HSA-1236978,Reactome,3,48,3.76,1.6,1.52,0.06407968313009961,"PSMA1, PSMA3, PSMB2",0.3568358825283978
Epithelial cell signaling in Helicobacter pylori infection,KEGG,4,66,3.64,2.34,1.51,0.06504694473796299,"ATP6V0E2, ATP6V1D, ATP6V1G1, ATP6V1G2",0.3587054816617765
Regulation Of RUNX3 Expression And Activity R-HSA-8941858,Reactome,3,52,3.47,1.4,1.5,0.06682305457922208,"PSMA1, PSMA3, PSMB2",0.36148090477141087
Degradation Of AXIN R-HSA-4641257,Reactome,3,52,3.47,1.4,1.5,0.06682305457922208,"PSMA1, PSMA3, PSMB2",0.36148090477141087
Negative Regulation Of FGFR4 Signaling R-HSA-5654733,Reactome,2,29,4.15,1.0,1.48,0.06951585204436136,"FGF13, FGF9",0.36679923295056643
Regulation Of Ornithine Decarboxylase (ODC) R-HSA-350562,Reactome,3,48,3.76,1.7,1.47,0.0702967699330942,"PSMA1, PSMA3, PSMB2",0.36679923295056643
VEGFR2 Mediated Vascular Permeability R-HSA-5218920,Reactome,2,24,5.01,1.43,1.47,0.07064285547741694,"CAV1, MLST8",0.36679923295056643
Glutamate Neurotransmitter Release Cycle R-HSA-210500,Reactome,2,22,5.47,1.67,1.47,0.07137328813771203,"CPLX1, SYT1",0.36679923295056643
Regulation Of Activated PAK-2p34 By Proteasome Mediated Degradation R-HSA-211733,Reactome,3,47,3.84,1.82,1.46,0.07264479615968189,"PSMA1, PSMA3, PSMB2",0.36679923295056643
Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,Reactome,6,93,3.88,4.88,1.46,0.07270256191529559,"EIF2S1, RPL18, RPL21, RPL23A, RPLP2, RPS10",0.36679923295056643
Downstream Signaling Of Activated FGFR3 R-HSA-5654708,Reactome,2,24,5.01,1.48,1.44,0.07429461145878065,"FGF13, FGF9",0.36679923295056643
Downstream Signaling Of Activated FGFR4 R-HSA-5654716,Reactome,2,26,4.63,1.29,1.44,0.0745356122300444,"FGF13, FGF9",0.36679923295056643
Autodegradation Of E3 Ubiquitin Ligase COP1 R-HSA-349425,Reactome,3,49,3.68,1.71,1.44,0.07463480143236946,"PSMA1, PSMA3, PSMB2",0.36679923295056643
