pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,Reactome,7,103,4.09,4.87,1.68,0.04671497711409577,"RPL13A, RPL28, RPL9, RPLP2, SRP19, SSR2, SSR4",0.34537651253265716
Cargo Trafficking To Periciliary Membrane R-HSA-5620920,Reactome,3,49,3.68,1.29,1.66,0.04834740135600468,"ARL3, BBIP1, PDE6D",0.34537651253265716
Diabetic cardiomyopathy,KEGG,8,177,2.72,2.64,1.66,0.04863422639732134,"ATP5MC1, ATP5MC3, COX6A1, MPC1, MPC2, NDUFA6, NDUFS5, UQCRQ",0.34537651253265716
Conversion From APC/C:Cdc20 To APC/C:Cdh1 In Late Anaphase R-HSA-176407,Reactome,2,20,6.01,1.52,1.66,0.04874256008145904,"CDC26, FZR1",0.34537651253265716
Aberrant Regulation Of Mitotic Exit In Cancer Due To RB1 Defects R-HSA-9687136,Reactome,2,20,6.01,1.52,1.66,0.04874256008145904,"CDC26, FZR1",0.34537651253265716
RNA Polymerase III Transcription Initiation From Type 1 Promoter R-HSA-76061,Reactome,2,25,4.81,1.06,1.65,0.049247879641594446,"POLR2E, POLR3H",0.34537651253265716
Insulin Receptor Signaling Cascade R-HSA-74751,Reactome,3,53,3.4,1.11,1.65,0.0492856481393111,"FGF18, FGF9, PTPN11",0.34537651253265716
IRAK4 Deficiency (TLR2/4) R-HSA-5603041,Reactome,2,18,6.68,1.81,1.65,0.049671883325389576,"HMGB1, S100A8",0.34537651253265716
Signaling By Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) R-HSA-2404192,Reactome,3,53,3.4,1.12,1.65,0.04969898814222207,"FGF18, FGF9, PTPN11",0.34537651253265716
IGF1R Signaling Cascade R-HSA-2428924,Reactome,3,52,3.47,1.18,1.64,0.05067378259363063,"FGF18, FGF9, PTPN11",0.34774883304879023
Antimicrobial Peptides R-HSA-6803157,Reactome,6,76,4.75,5.48,1.63,0.05183576518986237,"ATOX1, DEFB114, DEFB131A, DEFB135, LEAP2, S100A8",0.34975740351741186
mRNA Splicing - Minor Pathway R-HSA-72165,Reactome,3,44,4.1,1.65,1.62,0.052240632219358416,"EFTUD2, POLR2B, POLR2E",0.34975740351741186
Signaling By FGFR1 R-HSA-5654736,Reactome,3,47,3.84,1.49,1.61,0.05410342759126353,"FGF18, FGF9, PTPN11",0.35786484033257443
GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706,Reactome,6,104,3.47,3.29,1.6,0.05496948603431685,"EIF2S1, EIF4E, RPL13A, RPL28, RPL9, RPLP2",0.35926485515285655
