pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Gene Silencing By RNA R-HSA-211000,Reactome,7,103,4.09,2.66,2.27,0.011570908608870077,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.04461450217650387
Mitotic Prophase R-HSA-68875,Reactome,7,107,3.93,2.51,2.26,0.011874700775606498,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.04461450217650387
Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,Reactome,6,86,4.2,2.33,2.26,0.012018095734214949,"CD1D, CD200R1, IGLL5, LAIR1, RAET1E, TARP",0.04461450217650387
Processing Of DNA Double-Strand Break Ends R-HSA-5693607,Reactome,5,73,4.12,1.79,2.26,0.012044219218751996,"H2BC1, H2BC11, H2BC15, H2BC17, H2BC3",0.04461450217650387
Heme Degradation R-HSA-189483,Reactome,2,16,7.52,1.18,2.22,0.013198722253207706,"ABCG2, GSTA1",0.048211999341578146
HCMV Late Events R-HSA-9610379,Reactome,6,80,4.51,2.79,2.19,0.014362386328586158,"H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.05174393978655013
Epigenetic Regulation Of Gene Expression R-HSA-212165,Reactome,7,112,3.76,2.51,2.17,0.01494475030523682,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.05311445040915248
Estrogen-dependent Gene Expression R-HSA-9018519,Reactome,7,114,3.69,2.51,2.14,0.016293818221303467,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.05675151860040286
HCMV Early Events R-HSA-9609690,Reactome,6,92,3.92,2.31,2.13,0.01639967837882364,"H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.05675151860040286
Post-chaperonin Tubulin Folding Pathway R-HSA-389977,Reactome,3,23,7.84,2.74,2.09,0.01842058263442664,"TUBA3C, TUBA3D, TUBA3E",0.06291705497213256
Translocation Of ZAP-70 To Immunological Synapse R-HSA-202430,Reactome,2,12,10.02,2.0,2.07,0.018998558710832784,"HLA-DQA1, TARP",0.06377919252077618
Biological Oxidations R-HSA-211859,Reactome,10,198,3.04,2.81,2.07,0.019158008399776875,"AKR7A2, AKR7L, CYP2A13, CYP2A6, CYP2A7, CYP2C19, GLYAT, GSTA1, GSTA2, SULT1E1",0.06377919252077618
