pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Choline metabolism in cancer,KEGG,2,93,1.29,1.5,-0.03,0.512307263254393,"PLA2G4C, RALGDS",0.8127383975216228
Phase I - Functionalization Of Compounds R-HSA-211945,Reactome,2,94,1.28,2.24,-0.03,0.5135926980965478,"AADAC, CYP3A43",0.8127383975216228
Glycerophospholipid metabolism,KEGG,2,96,1.25,2.72,-0.05,0.5186322338711293,"CHAT, PLA2G4C",0.8127383975216228
Tight junction,KEGG,3,162,1.11,2.65,-0.07,0.5293146424901659,"CD1A, CD1B, CD1C",0.8127383975216228
Allograft Rejection,Hallmark,3,194,0.93,2.92,-0.07,0.5297524098787865,"CCL4, GBP2, PTPRC",0.8127383975216228
Inflammatory Response,Hallmark,3,198,0.91,3.68,-0.09,0.5339797347313445,"CX3CL1, FPR1, PVR",0.8127383975216228
Gene Silencing By RNA R-HSA-211000,Reactome,2,103,1.17,2.66,-0.1,0.5401810273251885,"H2BC13, MOV10L1",0.8127383975216228
CDC42 GTPase Cycle R-HSA-9013148,Reactome,2,135,0.89,2.54,-0.1,0.5413741936096133,"ARHGAP27, FMNL2",0.8127383975216228
Human cytomegalovirus infection,KEGG,3,198,0.91,2.15,-0.11,0.5444299747268201,"CCL4, CGAS, CX3CL1",0.8127383975216228
Kaposi sarcoma-associated herpesvirus infection,KEGG,3,166,1.09,2.0,-0.11,0.5447388570626641,"CD200R1L, MICA, MICB",0.8127383975216228
Shigellosis,KEGG,4,233,1.03,2.39,-0.12,0.5497134740407191,"CGAS, H3C12, H3C2, H3C4",0.8127383975216228
Cytokine-cytokine receptor interaction,KEGG,4,267,0.9,2.85,-0.13,0.5500171112017587,"CCL4, CX3CL1, IFNL2, IFNL3",0.8127383975216228
Necroptosis,KEGG,2,135,0.89,1.65,-0.13,0.5512654940549621,"H2AC15, PLA2G4C",0.8127383975216228
Toxoplasmosis,KEGG,2,103,1.17,1.53,-0.13,0.5528819788707904,"HLA-DQB1, IRGM",0.8127383975216228
Reproduction R-HSA-1474165,Reactome,2,102,1.18,1.23,-0.14,0.5545464020309405,"ADAM30, H2BC13",0.8127383975216228
Phagosome,KEGG,2,135,0.89,1.4,-0.14,0.5556773332024743,"FCAR, HLA-DQB1",0.8127383975216228
Viral carcinogenesis,KEGG,3,178,1.01,3.53,-0.14,0.5573995199535053,"DDX3X, H2BC13, H2BC6",0.8127383975216228
Extracellular Matrix Organization R-HSA-1474244,Reactome,4,273,0.88,2.92,-0.15,0.5599631531873315,"CAPN11, CAPN8, COL4A2, ITGAD",0.8127383975216228
Phospholipid Metabolism R-HSA-1483257,Reactome,3,207,0.87,2.52,-0.15,0.5605251350200096,"CPNE7, PLA2G4C, PLAAT2",0.8127383975216228
Cell-Cell Communication R-HSA-1500931,Reactome,2,114,1.06,3.55,-0.15,0.5613389857405775,"PVR, SDK1",0.8127383975216228
Phospholipase D signaling pathway,KEGG,2,145,0.83,2.83,-0.16,0.5633220380275202,"PLA2G4C, RALGDS",0.8127383975216228
Bile Acid Metabolism,Hallmark,2,112,1.07,2.37,-0.17,0.5692260195277723,"HSD17B6, RBP1",0.8127383975216228
Chromatin Modifying Enzymes R-HSA-3247509,Reactome,3,223,0.81,4.46,-0.18,0.5701612190106783,"H2BC13, KDM5D, KDM6A",0.8127383975216228
