pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
ERCC6 (CSB) And EHMT2 (G9a) Positively Regulate rRNA Expression R-HSA-427389,Reactome,3,43,4.2,3.5,1.14,0.12729459403216764,"CBX3, H2AX, RBBP7",0.22900698151549773
Mitophagy,KEGG,3,64,2.82,1.55,1.13,0.1293298077539986,"CSNK2A2, MAPK8, UBA52",0.23210639410922937
Muscle Contraction R-HSA-397014,Reactome,8,183,2.63,5.3,1.13,0.13008807960481072,"CAV3, FGF14, FXYD7, KCNIP4, MYL1, MYL11, TNNC2, TPM2",0.23290468228042016
Phagosome,KEGG,5,135,2.23,1.84,1.12,0.13043235391924196,"ATP6V1G1, RAB5B, RAB5C, SEC22B, TUBB4A",0.2329259153834003
TNFR2 Non-Canonical NF-kB Pathway R-HSA-5668541,Reactome,4,98,2.45,1.74,1.12,0.13072692693792454,"PSMB2, PSMB3, PSMD11, UBA52",0.2329259153834003
Negative Regulation Of FGFR2 Signaling R-HSA-5654727,Reactome,2,32,3.76,1.43,1.12,0.1312890238060756,"PPP2CB, UBA52",0.232992415074821
Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202,Reactome,5,125,2.41,2.31,1.12,0.13139141576897712,"MAPK8, PSMB2, PSMB3, PSMD11, UBA52",0.232992415074821
Protein Secretion,Hallmark,4,87,2.77,2.4,1.11,0.1325000268597662,"BET1, RAB22A, RER1, SEC22B",0.23439885704001498
Proteoglycans in cancer,KEGG,6,173,2.09,2.0,1.11,0.13370461756723467,"AKT3, CAV1, CAV3, HSPB2, MAPK14, PRKACA",0.23596800677542842
Early SARS-CoV-2 Infection Events R-HSA-9772572,Reactome,2,30,4.01,1.67,1.11,0.1342846565090412,"CHMP2B, CHMP4B",0.23643009428013653
RHOG GTPase Cycle R-HSA-9013408,Reactome,3,65,2.78,1.57,1.1,0.13579761434436916,"CAV1, HSPE1, RHOG",0.23742246532663816
Apoptosis R-HSA-109581,Reactome,6,163,2.21,2.45,1.1,0.13603646564015048,"AKT3, MAPK8, PSMB2, PSMB3, PSMD11, UBA52",0.23742246532663816
