pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Assembly Of ORC Complex At Origin Of Replication R-HSA-68616,Reactome,5,36,8.35,2.87,3.0,0.0013306492876990867,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.026708032131674525
PRC2 Methylates Histones And DNA R-HSA-212300,Reactome,5,40,7.52,2.57,2.96,0.0015163954273955294,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.028267430089268693
Condensation Of Prophase Chromosomes R-HSA-2299718,Reactome,5,41,7.33,2.53,2.94,0.001663694081008471,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.028267430089268693
Inhibition Of DNA Recombination At Telomere R-HSA-9670095,Reactome,5,45,6.68,2.25,2.92,0.001752355759778698,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.028267430089268693
Defective Pyroptosis R-HSA-9710421,Reactome,5,40,7.52,2.69,2.9,0.0018844846672072698,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.028267430089268693
Glucuronidation R-HSA-156588,Reactome,3,19,9.5,1.84,2.89,0.0019113208957156767,"UGT1A3, UGT2B10, UGT3A1",0.028267430089268693
Drug ADME R-HSA-9748784,Reactome,7,81,5.2,2.45,2.87,0.0020620104843748896,"CES1, GSTA1, GSTA2, SLC22A7, UGT1A3, UGT2B10, UGT3A1",0.028352665379320553
Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722,Reactome,6,56,6.44,2.8,2.86,0.002118882466070219,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5, TLE2",0.028352665379320553
Deposition Of New CENPA-containing Nucleosomes At Centromere R-HSA-606279,Reactome,5,49,6.14,2.25,2.75,0.002991884560252179,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.03821452551958465
HCMV Early Events R-HSA-9609690,Reactome,7,92,4.58,2.31,2.67,0.003768190422755833,"DUT, H2AC7, H2BC13, H2BC15, H2BC4, H2BC5, TBL1X",0.04603745690410387
Meiotic Recombination R-HSA-912446,Reactome,5,51,5.9,2.29,2.65,0.0040327818547600675,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.04721715421614912
Phase II - Conjugation Of Compounds R-HSA-156580,Reactome,6,97,3.72,1.43,2.59,0.004747967790821231,"GSTA1, GSTA2, GSTM4, UGT1A3, UGT2B10, UGT3A1",0.05248480998176791
Systemic lupus erythematosus,KEGG,11,122,5.42,5.49,2.57,0.0050821997085732686,"H2AC7, H2AC8, H2BC13, H2BC15, H2BC4, H2BC5, H2BC7, H3C4, H4C4, HLA-DQA2, HLA-DQB1",0.05248480998176791
G2/M DNA Damage Checkpoint R-HSA-69473,Reactome,5,65,4.63,1.7,2.55,0.005362024482967118,"DNA2, H2BC13, H2BC15, H2BC4, H2BC5",0.05248480998176791
Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582,Reactome,6,76,4.75,2.23,2.55,0.005400690698639297,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5, RPS6KA2",0.05248480998176791
RHO GTPases Activate PKNs R-HSA-5625740,Reactome,5,54,5.57,2.29,2.54,0.0055857246625761635,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.05248480998176791
B-WICH Complex Positively Regulates rRNA Expression R-HSA-5250924,Reactome,5,55,5.47,2.25,2.52,0.0057901391794832925,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.05248480998176791
Meiotic Synapsis R-HSA-1221632,Reactome,5,55,5.47,2.25,2.52,0.0057901391794832925,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.05248480998176791
HDMs Demethylate Histones R-HSA-3214842,Reactome,3,25,7.22,1.69,2.51,0.006085490628456206,"KDM2B, KDM5C, KDM6A",0.05343821458113106
RNA Polymerase I Promoter Escape R-HSA-73772,Reactome,5,56,5.37,2.25,2.49,0.006377831677780467,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.05430820307443367
HDACs Deacetylate Histones R-HSA-3214815,Reactome,6,59,6.12,3.52,2.46,0.00702284760995748,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5, TBL1X",0.05679020749392024
DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586,Reactome,5,58,5.18,2.25,2.42,0.007663467004976073,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.05679020749392024
Nonhomologous End-Joining (NHEJ) R-HSA-5693571,Reactome,4,44,5.47,1.82,2.42,0.007670146589772975,"H2BC13, H2BC15, H2BC4, H2BC5",0.05679020749392024
