pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Telomere Maintenance R-HSA-157579,Reactome,7,86,4.9,3.66,2.24,0.01246630522622426,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, H3-4",0.08075997733510498
Assembly Of Pre-Replicative Complex R-HSA-68867,Reactome,7,106,3.97,2.62,2.23,0.012826052139333601,"ANAPC7, H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.08095455071535382
Eukaryotic Translation Elongation R-HSA-156842,Reactome,8,85,5.66,5.39,2.23,0.01285855279818819,"FAU, RPL15, RPL23A, RPL30, RPLP0, RPLP2, RPS10, RPS2",0.08095455071535382
Translation Initiation Complex Formation R-HSA-72649,Reactome,5,54,5.57,3.0,2.22,0.013278908499193071,"EIF3G, EIF4A2, FAU, RPS10, RPS2",0.0813105767005384
Ribosomal Scanning And Start Codon Recognition R-HSA-72702,Reactome,5,54,5.57,3.0,2.22,0.013278908499193071,"EIF3G, EIF4A2, FAU, RPS10, RPS2",0.0813105767005384
"mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662",Reactome,5,55,5.47,3.0,2.19,0.014348334799229166,"EIF3G, EIF4A2, FAU, RPS10, RPS2",0.0866716980439924
Recruitment And ATM-mediated Phosphorylation Of Repair And Signal Proteins At DNA Double Strand Breaks R-HSA-5693565,Reactome,5,55,5.47,3.03,2.18,0.0148093496432007,"H2BC13, H2BC4, H2BC9, H3-4, SUMO1",0.08826372387347617
Oxidative Stress Induced Senescence R-HSA-2559580,Reactome,6,88,4.1,2.44,2.16,0.015291404609193237,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.08920806156315156
Nonhomologous End-Joining (NHEJ) R-HSA-5693571,Reactome,4,44,5.47,2.29,2.16,0.015366936779334832,"H2BC13, H2BC4, H2BC9, H3-4",0.08920806156315156
DNA Double Strand Break Response R-HSA-5693606,Reactome,5,56,5.37,3.03,2.15,0.015947719876885914,"H2BC13, H2BC4, H2BC9, H3-4, SUMO1",0.09043202316090666
Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,Reactome,8,93,5.17,5.1,2.14,0.015982393355059566,"FAU, RPL15, RPL23A, RPL30, RPLP0, RPLP2, RPS10, RPS2",0.09043202316090666
RNA Polymerase III Abortive And Retractive Initiation R-HSA-749476,Reactome,3,37,4.88,1.3,2.13,0.016724384618566856,"CRCP, NFIA, POLR3H",0.09326214214290032
HATs Acetylate Histones R-HSA-3214847,Reactome,7,97,4.34,3.36,2.12,0.01689985126079402,"ATXN7, EPC1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.09326214214290032
Epigenetic Regulation Of Gene Expression R-HSA-212165,Reactome,7,112,3.76,2.71,2.09,0.018250855894506448,"GTF2H5, H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.09948942176639491
RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of HSCs R-HSA-8939236,Reactome,6,92,3.92,2.44,2.08,0.018746332331829044,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.10095916328105521
Phase II - Conjugation Of Compounds R-HSA-156580,Reactome,6,97,3.72,2.36,2.02,0.021946787301178827,"GSTA1, SULT1A1, UGT1A10, UGT2B10, UGT2B28, UGT2B7",0.11678826099555877
SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,Reactome,8,103,4.67,5.1,1.98,0.023749936322192338,"FAU, RPL15, RPL23A, RPL30, RPLP0, RPLP2, RPS10, RPS2",0.12489672395317616
DNA Replication Pre-Initiation R-HSA-69002,Reactome,7,123,3.42,2.62,1.95,0.02564715459984112,"ANAPC7, H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.1333055593735928
Selenoamino Acid Metabolism R-HSA-2408522,Reactome,8,108,4.45,5.1,1.91,0.02820124797527854,"FAU, RPL15, RPL23A, RPL30, RPLP0, RPLP2, RPS10, RPS2",0.14489606718332768
Cellular Senescence R-HSA-2559583,Reactome,8,158,3.05,2.73,1.84,0.032549155983611994,"ANAPC7, H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, H3-4",0.1653349173258473
Gene Silencing By RNA R-HSA-211000,Reactome,6,103,3.5,2.66,1.8,0.03619240399468634,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.1817753324227505
Chromosome Maintenance R-HSA-73886,Reactome,7,110,3.83,3.82,1.79,0.03686365932470762,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, H3-4",0.1830895079793812
Nephrin Family Interactions R-HSA-373753,Reactome,2,21,5.73,1.24,1.77,0.03860878737417413,"MAGI2, NCK2",0.18791397660291786
"Formation Of Ternary Complex, And Subsequently, 43S Complex R-HSA-72695",Reactome,4,47,5.12,3.09,1.77,0.03867580726503008,"EIF3G, FAU, RPS10, RPS2",0.18791397660291786
RNA Polymerase III Transcription Initiation From Type 2 Promoter R-HSA-76066,Reactome,2,24,5.01,1.0,1.76,0.0393080439862914,"CRCP, POLR3H",0.18893221141798122
HCMV Early Events R-HSA-9609690,Reactome,6,92,3.92,3.51,1.73,0.041587203261170845,"H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, HDAC3",0.19776042401854646
Cellular Response To Starvation R-HSA-9711097,Reactome,9,145,3.73,5.41,1.71,0.04385245525542313,"ATP6V0E2, FAU, RPL15, RPL23A, RPL30, RPLP0, RPLP2, RPS10, RPS2",0.2063373420965699
Estrogen-dependent Gene Expression R-HSA-9018519,Reactome,6,114,3.17,2.44,1.7,0.044760769525144906,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.20655541687578244
RNA Polymerase III Transcription Initiation From Type 1 Promoter R-HSA-76061,Reactome,2,25,4.81,1.0,1.7,0.04482298755469999,"CRCP, POLR3H",0.20655541687578244
RNA Polymerase III Transcription Initiation From Type 3 Promoter R-HSA-76071,Reactome,2,24,5.01,1.08,1.69,0.04565894667245514,"CRCP, POLR3H",0.20826070574068822
Spliceosome,KEGG,7,126,3.34,3.36,1.68,0.04637221490977393,"DHX15, EFTUD2, HNRNPA1, HNRNPA3, HNRNPK, HSPA1L, U2AF1",0.20937757641079743
Triglyceride Catabolism R-HSA-163560,Reactome,2,22,5.47,1.34,1.64,0.0509013700357234,"ABHD5, FABP4",0.2275291240596836
Signaling By ROBO Receptors R-HSA-376176,Reactome,11,197,3.36,6.71,1.56,0.058939403870337664,"ELOB, FAU, NCK2, PFN1, RPL15, RPL23A, RPL30, RPLP0, RPLP2, RPS10, RPS2",0.25559843221454326
Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553,Reactome,9,159,3.4,5.48,1.56,0.05935057619670006,"ELOB, FAU, RPL15, RPL23A, RPL30, RPLP0, RPLP2, RPS10, RPS2",0.25559843221454326
RHO GTPase Effectors R-HSA-195258,Reactome,11,241,2.74,4.49,1.56,0.05979551790389308,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, KIF5B, PAFAH1B1, PFN1, PPP2CA, TAX1BP3",0.25559843221454326
Influenza Viral RNA Transcription And Replication R-HSA-168273,Reactome,8,129,3.73,5.66,1.56,0.059867043444182706,"FAU, RPL15, RPL23A, RPL30, RPLP0, RPLP2, RPS10, RPS2",0.25559843221454326
G2/M DNA Damage Checkpoint R-HSA-69473,Reactome,4,65,3.7,2.29,1.55,0.06003990018462426,"H2BC13, H2BC4, H2BC9, H3-4",0.25559843221454326
Ribosome,KEGG,8,127,3.79,5.97,1.54,0.06224823710992209,"FAU, RPL15, RPL23A, RPL30, RPLP0, RPLP2, RPS10, RPS2",0.26249964139750165
Signaling By Nuclear Receptors R-HSA-9006931,Reactome,10,250,2.41,3.11,1.51,0.06539138468276208,"ALDH1A2, GNB1, H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, HDAC3, RDH16",0.2694753242429893
RA Biosynthesis Pathway R-HSA-5365859,Reactome,2,21,5.73,1.7,1.51,0.06565039741199027,"ALDH1A2, RDH16",0.2694753242429893
TCF Dependent Signaling In Response To WNT R-HSA-201681,Reactome,8,177,2.72,3.21,1.5,0.06625055255411653,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, H3-4, PPP2CA",0.2694753242429893
Signaling By WNT R-HSA-195721,Reactome,11,255,2.59,4.24,1.5,0.06663925437444419,"GNB1, H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, H3-4, NLK, PFN1, PPP2CA",0.2694753242429893
Striated Muscle Contraction R-HSA-390522,Reactome,3,30,6.01,3.64,1.5,0.06691669125497049,"MYL1, TNNC2, TPM2",0.2694753242429893
