pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Apelin signaling pathway,KEGG,2,131,0.92,1.53,-0.1,0.5393874939359484,"BECN2, GNAQ",0.7663025209242861
Immune System R-HSA-168256,Reactome,28,1760,0.96,6.13,-0.1,0.5403770656549879,"ANAPC13, ATP6V1B2, BPIFA2, BTN3A2, BTN3A3, CLEC2D, DEFB126, DEFB129, FBXL13, HCK, HERC6, IL32, ITGAM, KBTBD6, KLRK1, MICA, MICB, MNDA, POLR2E, PTPN20, RNASE2, SEC61B, SIGLEC11, SIGLEC14, TLR10, TRIM22, TRIM68, TRPM2",0.7663025209242861
Translation R-HSA-72766,Reactome,4,269,0.89,5.0,-0.1,0.5405199896282245,"RPL11, RPL21, RPL26L1, SEC61B",0.7663025209242861
Vascular smooth muscle contraction,KEGG,2,131,0.92,1.4,-0.1,0.5411529553872934,"GNAQ, MYL9",0.7663025209242861
SARS-CoV-2 Activates/Modulates Innate And Adaptive Immune Responses R-HSA-9705671,Reactome,2,102,1.18,2.15,-0.1,0.5413339999838568,"CNBP, NLRP12",0.7663025209242861
rRNA Processing R-HSA-72312,Reactome,3,175,1.03,5.47,-0.1,0.5415015472592993,"RPL11, RPL21, RPL26L1",0.7663025209242861
DNA Repair,Hallmark,2,140,0.86,4.23,-0.11,0.5421749362776138,"DAD1, POLR2E",0.7663025209242861
G Alpha (Q) Signaling Events R-HSA-416476,Reactome,3,200,0.9,2.7,-0.11,0.5439113616176506,"GNAQ, KISS1R, KNG1",0.7663025209242861
Neutrophil extracellular trap formation,KEGG,3,172,1.05,3.77,-0.11,0.5442941958860847,"CLCN3, H2BC7, ITGAM",0.7663025209242861
GPCR Ligand Binding R-HSA-500792,Reactome,6,415,0.87,8.74,-0.12,0.5472044993310936,"CCL7, KISS1R, KNG1, MC2R, PTH2R, TAS1R1",0.7663025209242861
HIV Infection R-HSA-162906,Reactome,3,208,0.87,4.12,-0.12,0.5490678428031733,"ELOA2, HCK, POLR2E",0.7663025209242861
Cytokine-cytokine receptor interaction,KEGG,4,267,0.9,2.85,-0.13,0.5500171112017587,"CCL7, CCL8, IL32, TGFB3",0.7663025209242861
