pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
HSF1-dependent Transactivation R-HSA-3371571,Reactome,2,35,3.44,1.52,0.99,0.16194603488908194,"HSPA1L, RLN1",0.7566199462945906
RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459,Reactome,3,59,3.06,2.54,0.97,0.165332356124886,"H2AC4, H2BC3, PF4",0.7566199462945906
Nuclear Import Of Rev Protein R-HSA-180746,Reactome,2,33,3.64,1.84,0.95,0.16991365396976682,"POM121, POM121C",0.7566199462945906
Rev-mediated Nuclear Export Of HIV RNA R-HSA-165054,Reactome,2,33,3.64,1.94,0.93,0.1758206315066061,"POM121, POM121C",0.7566199462945906
Vpr-mediated Nuclear Import Of PICs R-HSA-180910,Reactome,2,34,3.54,1.84,0.92,0.17775392806461848,"POM121, POM121C",0.7566199462945906
Diseases Of Programmed Cell Death R-HSA-9645723,Reactome,3,68,2.65,2.03,0.91,0.18078721873689885,"GOLGA2, H2AC4, H2BC3",0.7566199462945906
Platelet Degranulation R-HSA-114608,Reactome,4,113,2.13,1.76,0.9,0.18316547332331562,"ABCC4, CD36, EGF, PF4",0.7566199462945906
Interactions Of Rev With Host Cellular Proteins R-HSA-177243,Reactome,2,35,3.44,1.84,0.89,0.18552927751321419,"POM121, POM121C",0.7566199462945906
Nuclear Pore Complex (NPC) Disassembly R-HSA-3301854,Reactome,2,35,3.44,1.84,0.89,0.18552927751321419,"POM121, POM121C",0.7566199462945906
Packaging Of Telomere Ends R-HSA-171306,Reactome,2,31,3.88,2.42,0.89,0.18675616634638764,"H2AC4, H2BC3",0.7566199462945906
Transport Of SLBP Dependant Mature mRNA R-HSA-159230,Reactome,2,35,3.44,1.97,0.87,0.19324288460978833,"POM121, POM121C",0.7566199462945906
Bladder cancer,KEGG,2,40,3.01,1.44,0.86,0.1947816854264296,"EGF, TYMP",0.7566199462945906
Transport Of SLBP Independent Mature mRNA R-HSA-159227,Reactome,2,34,3.54,2.17,0.85,0.19719305334154175,"POM121, POM121C",0.7566199462945906
Transport Of Ribonucleoproteins Into Host Nucleus R-HSA-168271,Reactome,2,34,3.54,2.18,0.85,0.1978028114925166,"POM121, POM121C",0.7566199462945906
Gene Silencing By RNA R-HSA-211000,Reactome,4,103,2.34,2.66,0.85,0.1982467689930863,"H2AC4, H2BC3, POM121, POM121C",0.7566199462945906
Interactions Of Vpr With Host Cellular Proteins R-HSA-176033,Reactome,2,37,3.25,1.84,0.84,0.20086892587053068,"POM121, POM121C",0.7566199462945906
SUMOylation Of Ubiquitinylation Proteins R-HSA-3232142,Reactome,2,37,3.25,1.84,0.84,0.20086892587053068,"POM121, POM121C",0.7566199462945906
SUMOylation Of DNA Damage Response And Repair Proteins R-HSA-3108214,Reactome,3,69,2.61,2.35,0.83,0.20248073960743063,"POM121, POM121C, SUMO2",0.7566199462945906
Cleavage Of Damaged Purine R-HSA-110331,Reactome,2,35,3.44,2.13,0.83,0.2027603227455177,"H2AC4, H2BC3",0.7566199462945906
Metabolism of xenobiotics by cytochrome P450,KEGG,4,63,3.82,8.56,0.83,0.20401016135150618,"ADH1A, ADH1B, ADH1C, ADH7",0.7566199462945906
NEP/NS2 Interacts With Cellular Export Machinery R-HSA-168333,Reactome,2,33,3.64,2.47,0.82,0.20469918194425096,"POM121, POM121C",0.7566199462945906
Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005,Reactome,4,118,2.04,1.94,0.8,0.2124452056279189,"ABCC4, CD36, EGF, PF4",0.7566199462945906
Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410,Reactome,3,80,2.26,1.67,0.79,0.21403805083802097,"OAS3, POM121, POM121C",0.7566199462945906
Export Of Viral Ribonucleoproteins From Nucleus R-HSA-168274,Reactome,2,34,3.54,2.53,0.79,0.21498117978763664,"POM121, POM121C",0.7566199462945906
RNA Polymerase I Promoter Opening R-HSA-73728,Reactome,2,30,4.01,3.34,0.78,0.21700672015215705,"H2AC4, H2BC3",0.7566199462945906
Activated PKN1 Stimulates Transcription Of Androgen Receptor Regulated KLK2 And KLK3 R-HSA-5625886,Reactome,2,34,3.54,2.59,0.78,0.21794385651220105,"H2AC4, H2BC3",0.7566199462945906
SIRT1 Negatively Regulates rRNA Expression R-HSA-427359,Reactome,2,35,3.44,2.46,0.77,0.21943189680558078,"H2AC4, H2BC3",0.7566199462945906
Positive Epigenetic Regulation Of rRNA Expression R-HSA-5250913,Reactome,3,70,2.58,2.68,0.76,0.22222916641137996,"DPEP3, H2AC4, H2BC3",0.7566199462945906
Transport Of Mature mRNA Derived From An Intron-Containing Transcript R-HSA-159236,Reactome,3,71,2.54,2.6,0.76,0.22328818521386973,"POM121, POM121C, U2AF1L4",0.7566199462945906
Transport Of Mature mRNA Derived From An Intronless Transcript R-HSA-159231,Reactome,2,40,3.01,1.84,0.76,0.22330716227823916,"POM121, POM121C",0.7566199462945906
Meiosis R-HSA-1500620,Reactome,3,80,2.26,1.82,0.76,0.22360425491887237,"H2AC4, H2BC3, SYCE1",0.7566199462945906
DNA Methylation R-HSA-5334118,Reactome,2,32,3.76,3.28,0.74,0.22981803717395838,"H2AC4, H2BC3",0.7566199462945906
Transport Of Mature Transcript To Cytoplasm R-HSA-72202,Reactome,3,79,2.28,2.0,0.74,0.22983757716888148,"POM121, POM121C, U2AF1L4",0.7566199462945906
NS1 Mediated Effects On Host Pathways R-HSA-168276,Reactome,2,41,2.93,1.84,0.74,0.2306263405652233,"POM121, POM121C",0.7566199462945906
Transport Of Mature mRNAs Derived From Intronless Transcripts R-HSA-159234,Reactome,2,41,2.93,1.84,0.74,0.2306263405652233,"POM121, POM121C",0.7566199462945906
Biological Oxidations R-HSA-211859,Reactome,6,198,1.82,2.81,0.74,0.2306562600669445,"ADH1A, ADH1B, ADH1C, ADH7, AS3MT, DPEP3",0.7566199462945906
RNA Polymerase I Promoter Clearance R-HSA-73854,Reactome,3,75,2.41,2.5,0.72,0.23646953242097918,"DPEP3, H2AC4, H2BC3",0.7566199462945906
Cholesterol metabolism,KEGG,2,41,2.93,1.96,0.72,0.23714526056847895,"APOC1, CD36",0.7566199462945906
Late SARS-CoV-2 Infection Events R-HSA-9772573,Reactome,2,49,2.45,1.18,0.71,0.23990816414285315,"MOGAT2, PARP4",0.7566199462945906
RNA Polymerase I Transcription R-HSA-73864,Reactome,3,76,2.37,2.55,0.7,0.24313563479804723,"DPEP3, H2AC4, H2BC3",0.7566199462945906
Assembly Of ORC Complex At Origin Of Replication R-HSA-68616,Reactome,2,36,3.34,2.87,0.69,0.24379596647101925,"H2AC4, H2BC3",0.7566199462945906
Cleavage Of Damaged Pyrimidine R-HSA-110329,Reactome,2,40,3.01,2.22,0.69,0.24415395915240384,"H2AC4, H2BC3",0.7566199462945906
RMTs Methylate Histone Arginines R-HSA-3214858,Reactome,2,47,2.56,1.5,0.67,0.2514652989064492,"H2AC25, H2AC4",0.7566199462945906
"Base-Excision Repair, AP Site Formation R-HSA-73929",Reactome,2,42,2.86,2.16,0.66,0.25482080152896514,"H2AC4, H2BC3",0.7566199462945906
PRC2 Methylates Histones And DNA R-HSA-212300,Reactome,2,40,3.01,2.57,0.65,0.2593429174117453,"H2AC4, H2BC3",0.7566199462945906
Collagen Chain Trimerization R-HSA-8948216,Reactome,2,42,2.86,2.26,0.64,0.2597780993438541,"COL20A1, COL23A1",0.7566199462945906
Drug ADME R-HSA-9748784,Reactome,3,81,2.23,2.45,0.64,0.26046867108127203,"ABCC4, ADH1A, SLC16A1",0.7566199462945906
Inhibition Of DNA Recombination At Telomere R-HSA-9670095,Reactome,2,45,2.67,1.93,0.63,0.2637708866988502,"H2AC4, H2BC3",0.7566199462945906
Defective Pyroptosis R-HSA-9710421,Reactome,2,40,3.01,2.69,0.63,0.2641270314724595,"H2AC4, H2BC3",0.7566199462945906
Condensation Of Prophase Chromosomes R-HSA-2299718,Reactome,2,41,2.93,2.53,0.63,0.2646301247989272,"H2AC4, H2BC3",0.7566199462945906
"Nucleotide-binding Domain, Leucine Rich Repeat Containing NLR Signaling Pathways R-HSA-168643",Reactome,2,53,2.27,1.15,0.62,0.26778931069206363,"NLRC4, NLRP3",0.7566199462945906
Drug metabolism,KEGG,5,127,2.37,7.42,0.61,0.27063735853255183,"ADH1A, ADH1B, ADH1C, ADH7, TYMP",0.7566199462945906
M Phase R-HSA-68886,Reactome,9,357,1.52,3.14,0.61,0.27207657500940946,"CEP70, CEP72, GOLGA2, H2AC4, H2BC3, POM121, POM121C, PPP2R2D, TUBAL3",0.7566199462945906
Signaling By EGFR R-HSA-177929,Reactome,2,47,2.56,1.97,0.58,0.2794445883894391,"EGF, SPRY1",0.7566199462945906
NOD-like receptor signaling pathway,KEGG,4,147,1.64,1.57,0.55,0.2926171789613308,"GPRC6A, NLRC4, NLRP3, OAS3",0.7566199462945906
Metabolism Of Non-Coding RNA R-HSA-194441,Reactome,2,50,2.41,1.84,0.55,0.2927633686103378,"POM121, POM121C",0.7566199462945906
Nuclear Envelope Breakdown R-HSA-2980766,Reactome,2,50,2.41,1.84,0.55,0.2927633686103378,"POM121, POM121C",0.7566199462945906
Legionellosis,KEGG,2,51,2.36,1.78,0.54,0.2957594062416492,"HSPA1L, NLRC4",0.7566199462945906
Deposition Of New CENPA-containing Nucleosomes At Centromere R-HSA-606279,Reactome,2,49,2.45,2.18,0.52,0.301780059692556,"H2AC4, H2BC3",0.7566199462945906
Degradation Of Extracellular Matrix R-HSA-1474228,Reactome,3,106,1.7,1.2,0.51,0.3039800316253915,"COL23A1, MMP19, SPOCK3",0.7566199462945906
Viral Messenger RNA Synthesis R-HSA-168325,Reactome,2,45,2.67,3.34,0.48,0.31551590602446766,"POM121, POM121C",0.7566199462945906
Meiotic Recombination R-HSA-912446,Reactome,2,51,2.36,2.29,0.47,0.3181154160062255,"H2AC4, H2BC3",0.7566199462945906
Keratinization R-HSA-6805567,Reactome,4,107,2.25,8.25,0.45,0.3247253166844487,"KRT16, KRT32, KRT76, KRTAP15-1",0.7566199462945906
Systemic lupus erythematosus,KEGG,4,122,1.97,5.49,0.45,0.3276482619943931,"H2AC4, H2BC3, H4C11, H4C2",0.7566199462945906
ABC-family Proteins Mediated Transport R-HSA-382556,Reactome,3,99,1.82,2.37,0.44,0.3308158059139085,"ABCA9, ABCC4, ABCC6",0.7566199462945906
B-WICH Complex Positively Regulates rRNA Expression R-HSA-5250924,Reactome,2,55,2.19,2.03,0.43,0.33227830938845626,"H2AC4, H2BC3",0.7566199462945906
SARS-CoV-2 Activates/Modulates Innate And Adaptive Immune Responses R-HSA-9705671,Reactome,3,102,1.77,2.15,0.43,0.3351790752858237,"NLRP3, POM121, POM121C",0.7566199462945906
RHO GTPases Activate PKNs R-HSA-5625740,Reactome,2,54,2.23,2.29,0.42,0.3357422787528705,"H2AC4, H2BC3",0.7566199462945906
DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586,Reactome,2,58,2.07,1.71,0.42,0.33666003121909555,"H2AC4, H2BC3",0.7566199462945906
RNA Polymerase I Promoter Escape R-HSA-73772,Reactome,2,56,2.15,2.04,0.42,0.3382473711857872,"H2AC4, H2BC3",0.7566199462945906
HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567,Reactome,3,104,1.73,2.05,0.41,0.33935294033640645,"EME2, H2BC3, SUMO2",0.7566199462945906
Loss Of Nlp From Mitotic Centrosomes R-HSA-380259,Reactome,2,63,1.91,1.26,0.4,0.3452535638248746,"CEP70, CEP72",0.7566199462945906
Integrin Cell Surface Interactions R-HSA-216083,Reactome,2,63,1.91,1.29,0.39,0.3471567488653903,"COL23A1, ICAM2",0.7566199462945906
Glycerolipid metabolism,KEGG,2,61,1.97,1.59,0.39,0.34946562884637716,"MOGAT2, PNLIPRP1",0.7566199462945906
HATs Acetylate Histones R-HSA-3214847,Reactome,3,97,1.86,3.36,0.39,0.3500209990242127,"H2AC25, H2AC4, H2BC3",0.7566199462945906
tRNA Processing In Nucleus R-HSA-6784531,Reactome,2,53,2.27,3.09,0.38,0.35243245876855855,"POM121, POM121C",0.7566199462945906
Transcriptional Regulation Of Granulopoiesis R-HSA-9616222,Reactome,2,56,2.15,2.49,0.38,0.3529098237743733,"H2AC4, H2BC3",0.7566199462945906
SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232,Reactome,4,156,1.54,2.5,0.36,0.35906823944684807,"MBD1, POM121, POM121C, SUMO2",0.7566199462945906
Homology Directed Repair R-HSA-5693538,Reactome,3,108,1.67,2.2,0.36,0.35984306599010907,"EME2, H2BC3, SUMO2",0.7566199462945906
Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722,Reactome,2,56,2.15,2.8,0.36,0.3608943755821315,"H2AC4, H2BC3",0.7566199462945906
Pre-NOTCH Transcription And Translation R-HSA-1912408,Reactome,2,60,2.0,2.14,0.35,0.3642696911712559,"H2AC4, H2BC3",0.7566199462945906
AURKA Activation By TPX2 R-HSA-8854518,Reactome,2,66,1.82,1.32,0.34,0.3678520492343465,"CEP70, CEP72",0.7566199462945906
SUMOylation R-HSA-2990846,Reactome,4,162,1.48,2.31,0.33,0.3714624345701193,"MBD1, POM121, POM121C, SUMO2",0.7566199462945906
Epigenetic Regulation Of Gene Expression R-HSA-212165,Reactome,3,112,1.61,2.33,0.31,0.37825728849310764,"DPEP3, H2AC4, H2BC3",0.7566199462945906
COPII-mediated Vesicle Transport R-HSA-204005,Reactome,2,63,1.91,2.12,0.31,0.37945952135799266,"GOLGA2, TRAPPC6A",0.7566199462945906
Glycolysis R-HSA-70171,Reactome,2,65,1.85,1.84,0.3,0.3820826455316585,"POM121, POM121C",0.7566199462945906
Estrogen-dependent Gene Expression R-HSA-9018519,Reactome,3,114,1.58,2.38,0.29,0.38655576484760606,"DAND5, H2AC4, H2BC3",0.7566199462945906
Cell Surface Interactions At Vascular Wall R-HSA-202733,Reactome,3,112,1.61,2.76,0.28,0.38786597727574795,"PF4, PF4V1, SLC16A1",0.7566199462945906
Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,Reactome,2,65,1.85,2.54,0.26,0.3990612288300379,"COL20A1, COL23A1",0.7566199462945906
Expression And Translocation Of Olfactory Receptors R-HSA-9752946,Reactome,8,340,1.42,10.39,0.25,0.4029310750313282,"OR10J5, OR13C8, OR1Q1, OR1S2, OR51B4, OR5B21, OR6A2, OR9Q1",0.7566199462945906
Nuclear Envelope (NE) Reassembly R-HSA-2995410,Reactome,2,71,1.69,1.64,0.23,0.40833911874044415,"POM121, TUBAL3",0.7566199462945906
Olfactory Signaling Pathway R-HSA-381753,Reactome,8,347,1.39,10.1,0.23,0.4085674812959314,"OR10J5, OR13C8, OR1Q1, OR1S2, OR51B4, OR5B21, OR6A2, OR9Q1",0.7566199462945906
