pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
G2/M DNA Damage Checkpoint R-HSA-69473,Reactome,5,65,4.63,1.79,2.48,0.006542511570632205,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.0421779477043278
E3 Ubiquitin Ligases Ubiquitinate Target Proteins R-HSA-8866654,Reactome,5,48,6.26,2.86,2.47,0.006694912334020286,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.0421779477043278
Pre-NOTCH Transcription And Translation R-HSA-1912408,Reactome,5,60,5.01,2.14,2.42,0.007763806511682569,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.04601059740460444
Dectin-2 Family R-HSA-5621480,Reactome,2,14,8.59,1.2,2.42,0.007839744226260286,"CLEC6A, MUC15",0.04601059740460444
ERCC6 (CSB) And EHMT2 (G9a) Positively Regulate rRNA Expression R-HSA-427389,Reactome,5,43,6.99,3.5,2.42,0.007851014636499964,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.04601059740460444
Transcriptional Regulation Of Granulopoiesis R-HSA-9616222,Reactome,5,56,5.37,2.49,2.37,0.008936288461021458,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.05118056118585017
Oxidative Stress Induced Senescence R-HSA-2559580,Reactome,6,88,4.1,2.09,2.33,0.009849373561422244,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17, IFNB1",0.05515649194396456
Alcoholism,KEGG,11,176,3.76,3.77,2.31,0.01040209554728013,"H2AC17, H2BC10, H2BC11, H2BC12, H2BC13, H2BC15, H2BC17, H2BC8, H2BW1, H2BW2, H4C9",0.05698539299814332
NoRC Negatively Regulates rRNA Expression R-HSA-427413,Reactome,5,71,4.24,1.81,2.3,0.010770348692075299,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.05774740149793565
RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459,Reactome,5,59,5.1,2.54,2.25,0.012109915015606171,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.061428689122008405
Processing Of DNA Double-Strand Break Ends R-HSA-5693607,Reactome,5,73,4.12,1.79,2.25,0.012191587444625175,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.061428689122008405
