gene,taxa_count,codon_length,fn,max_lrt,psi_contrast,max_rho_contrast,p_evd_track_a,max_synergy_contrast,top3_synergy_contrast,best_site_codon,best_site_lrt,best_site_rho,valid_clades,pos_clades,pos_delta_sum,net_delta,delta_bovids,delta_camelids,delta_lagomorphs,delta_felids,delta_equids,delta_rodents,z_track_b,z_score,p_track_b,q_track_b,rank_track_b,q_track_a,rank_track_a,p_combined,p_value,fdr_q,psi_score,psi_track_b,max_rho_track_a,composite_rank,tier
RBM22,714,421,0.02475469931960106,38.70013427734375,0.006030477509342094,0.28867512941360474,1.7136292385087822e-13,5.0703125,1.8859912157058716,126,17.564077377319336,0.28867512941360474,6,2,0.1354538325508699,0.10247716849366872,0.0,0.0,0.06271866876928789,0.0,0.07273516378158201,-0.03297666405720117,-1.6474220966744242,-1.6474220966744242,0.950264341695852,0.9863315463563184,15687,4.845626242595219e-11,641,3.427813588530171e-13,3.427813588530171e-13,9.691496794273247e-11,0.006030477509342094,0.006030477509342094,0.28867512941360474,11,Tier 0: Core Bottleneck Transducer
LEPROT,719,134,0.06460516899824142,40.5579833984375,0.010194146969213022,0.28867512941360474,1.7269519148042818e-13,5.613460063934326,3.0088908672332764,62,39.48662185668945,0.1421610563993454,6,4,0.08343645295859527,0.045242654413325825,0.015641601370704885,0.01760579237446805,0.039004121306044554,-0.009402224950551593,-0.028791573594717845,0.01118493790737778,-0.8018975899623793,-0.8018975899623793,0.7886938998267778,0.9217273060145383,13933,4.845626242595219e-11,641,3.4533487180965494e-13,3.4533487180965494e-13,9.691496794273247e-11,0.010194146969213022,0.010194146969213022,0.28867512941360474,12,Tier 0: Core Bottleneck Transducer
PPCS,727,142,0.11853569746017456,41.321876525878906,0.008079745171796437,0.2886751592159271,1.7291723608535319e-13,11.820542335510254,5.432804107666016,18,40.94755554199219,0.2886751592159271,6,3,0.04412149208477502,0.006041748273620091,0.013165662104974156,0.01266149691330865,-0.004169882232052211,-0.018072646834689413,-0.015837214744413308,0.018294333066492214,-1.2045880920962093,-1.2045880920962093,0.8858188220259031,0.9599933237805789,15024,4.845626242595219e-11,494,3.458899833219675e-13,3.458899833219675e-13,9.691496794273247e-11,0.008079745171796437,0.008079745171796437,0.2886751592159271,13,Tier 0: Core Bottleneck Transducer
MED8,727,271,0.07361442595720291,37.80078887939453,0.008974181502854473,0.28867509961128235,1.865174681370089e-13,4.002017498016357,3.2584617137908936,267,13.863397598266602,0.28867509961128235,6,4,0.07537064087283855,0.05072655619566936,0.007645109070407448,0.017502526603025943,0.027517197372646608,-0.011214699670386538,-0.013429385006782648,0.022705807826758555,-1.0257008258846023,-1.0257008258846023,0.8474836875226119,0.9451698080691879,14601,4.845626242595219e-11,1472,3.730349362740526e-13,3.730349362740526e-13,9.691496794273247e-11,0.008974181502854473,0.008974181502854473,0.28867509961128235,14,Tier 0: Core Bottleneck Transducer
POLE3,717,149,0.057305268943309784,27.713394165039062,0.014532420113150493,0.28867509961128235,1.927347170749086e-13,3.65836501121521,1.9648627042770386,148,12.67294979095459,0.28867509961128235,6,4,0.06834082618821609,0.05235528269103229,0.0,0.023178475347021464,0.0055846100759772335,-0.015985543497183795,0.008532612892895855,0.031045127872321533,0.06065684998177029,0.06065684998177029,0.47581624854662563,0.8830152778136249,8487,4.845626242595219e-11,1472,3.8546943414985435e-13,3.8546943414985435e-13,9.691496794273247e-11,0.014532420113150493,0.014532420113150493,0.28867509961128235,15,Tier 0: Core Bottleneck Transducer
TLCD1,728,176,0.13344694674015045,41.56159973144531,0.010607851001426662,0.28867512941360474,2.0011770018866445e-13,5.590606212615967,2.2662906646728516,34,19.36642837524414,0.28867512941360474,6,3,0.05398299104357748,0.025580565370472333,0.01491598349969901,0.030294508871837367,-0.0025259762940494602,-0.013330940197128617,-0.012545509181927074,0.008772498672041109,-0.6964666209200623,-0.6964666209200623,0.7569316729893032,0.9104360806004345,13536,4.845626242595219e-11,641,4.001798892261377e-13,4.001798892261377e-13,9.691496794273247e-11,0.010607851001426662,0.010607851001426662,0.28867512941360474,16,Tier 0: Core Bottleneck Transducer
FOSL2,712,336,0.08587470650672913,41.64071273803711,0.01174146841938109,0.3162277638912201,2.0788926136103895e-13,2.6316559314727783,2.0788073539733887,209,11.769123077392578,0.22360679507255554,5,4,0.06957680958845064,0.05520469894866418,0.012933861696622946,0.04968187755793296,,-0.01437211063978647,0.0008916895094078488,0.006069380824486887,-0.5103778460927785,-0.5103778460927785,0.6951066127651674,0.8930913133691182,12672,4.845626242595219e-11,237,4.1572301157088987e-13,4.1572301157088987e-13,9.691496794273247e-11,0.01174146841938109,0.01174146841938109,0.3162277638912201,17,Tier 0: Core Bottleneck Transducer
FYN,713,537,0.03484935313463211,37.318111419677734,0.0041350683262956454,0.28867512941360474,2.1066481892260126e-13,2.898137331008911,1.308049201965332,81,10.03944206237793,0.28867512941360474,6,3,0.06120803318445436,0.05975765507917752,0.022009304686512875,0.0,-0.0014503781052768406,0.0,0.037983486983476505,0.0012152415144649775,-2.029078188302988,-2.029078188302988,0.9787748364349885,0.9959613470291416,16003,4.845626242595219e-11,641,4.2138514899647816e-13,4.2138514899647816e-13,9.691496794273247e-11,0.0041350683262956454,0.0041350683262956454,0.28867512941360474,18,Tier 0: Core Bottleneck Transducer
S100A9,618,139,0.19744856655597687,41.22318649291992,0.015731361808780545,0.3535533845424652,2.137179322403198e-13,1.4428911209106445,1.0345958471298218,12,4.081112384796143,0.3535533845424652,4,3,0.048947217205868226,0.03605003224772045,0.0158128542447562,0.03178146618679724,0.001352896774314785,-0.012897184958147772,,,0.01782882646564482,0.01782882646564482,0.49288770410899957,0.8830152778136249,8883,4.845626242595219e-11,122,4.2743586448068527e-13,4.2743586448068527e-13,9.691496794273247e-11,0.015731361808780545,0.015731361808780545,0.3535533845424652,19,Tier 0: Core Bottleneck Transducer
DPPA5,526,119,0.17928756773471832,43.60725021362305,0.01956810002815287,0.3535533845424652,2.2537527399888138e-13,5.083351135253906,3.517878770828247,14,14.377888679504395,0.3535533845424652,4,3,0.03816410553380068,0.019722099630270988,,0.01791200349740292,0.013777605525697144,-0.018442005903529693,,0.006474496510700615,0.4538950736227086,0.4538950736227086,0.32495217475193805,0.8830152778136249,4718,4.845626242595219e-11,122,4.508060591490448e-13,4.508060591490448e-13,9.691496794273247e-11,0.01956810002815287,0.01956810002815287,0.3535533845424652,20,Tier 0: Core Bottleneck Transducer
ANAPC16,707,104,0.02736171893775463,41.813934326171875,0.009876289959052808,0.28867512941360474,2.3220314560032453e-13,8.568716049194336,8.197514533996582,8,29.682903289794922,0.28867512941360474,6,2,0.16519373236818616,0.12259908908350886,-0.04259464328467728,0.0,0.1588818016909931,0.0,0.0,0.006311930677193036,-0.8963939112608131,-0.8963939112608131,0.8149787909659196,0.9330507306394394,14223,4.845626242595219e-11,641,4.643507800494717e-13,4.643507800494717e-13,9.691496794273247e-11,0.009876289959052808,0.009876289959052808,0.28867512941360474,21,Tier 0: Core Bottleneck Transducer
