,CONT_ADULTBODYMASS_G,CONT_GEOGRAPHICRANGE_KM2,CONT_GESTATIONLENGTH_D_ALLOMETRIC_RESIDUAL,CONT_LITTERSIZE_ALLOMETRIC_RESIDUAL,CONT_MAXLONGEVITY_M_ALLOMETRIC_RESIDUAL,CONT_MEANPRECIPITATION_MM,CONT_MEANTEMPERATURE_C,CONT_SEXUALMATURITYAGE_D_ALLOMETRIC_RESIDUAL,CONT_WEANINGAGE_D_ALLOMETRIC_RESIDUAL,DISC_AQUATIC_MARINE,DISC_BIPEDAL_SALTATION,DISC_CARNIVORY,DISC_DESERT_OSMOREGULATION,DISC_DIURNALITY,DISC_ECHOLOCATION,DISC_ENAMEL_LOSS_EDENTULISM,DISC_FOREGUT_FERMENTATION,DISC_HERBIVORY,DISC_HIBERNATION,DISC_HIGH_ALTITUDE,DISC_HIGH_SUGAR_FRUGIVORY,DISC_LOSS_GULO_VITAMINC,DISC_LOSS_UCP1_THERMOGENESIS,DISC_MYRMECOPHAGY,DISC_NOCTURNALITY,DISC_PETO_PARADOX_CANCER_RESISTANCE,DISC_PHYSICAL_BODY_ARMOR,DISC_PREHENSILE_TAIL,DISC_SCAR_FREE_REGENERATION,DISC_SPONTANEOUS_MENSTRUATION,DISC_SUBTERRANEAN_VISION_LOSS,DISC_SUBTERRANEAN,DISC_VENOM_RESISTANCE
AASS,-0.10004608055269561,-0.09028633431300087,0.15863470003268323,-0.11253993653218373,-0.12944856719083525,0.13092747332765628,0.12440164297875973,0.1883483049471999,0.1486055425716709,0.0998900637697432,-0.07588996795929995,0.08429071732044197,0.02602014302071293,0.062078565822132094,-0.05323634895497996,-0.0361387083359285,-0.018993864382282805,0.05687547470920203,-0.07737274856693949,0.033022735563213626,-0.0,0.04337075863345122,-0.04901058354855629,0.100891196391819,0.0751072231529348,-0.04676440480856684,0.04530515861521274,0.04884825404743897,-0.0,-0.0,-0.1064632633160403,-0.0,0.060631725509976774
AATF,0.10004608055269561,-0.09028633431300087,0.15863470003268323,-0.11253993653218373,0.12944856719083525,0.13092747332765628,0.12440164297875973,0.1883483049471999,0.1486055425716709,-0.08658464712062405,0.07588996795929995,-0.08429071732044197,-0.02602014302071293,0.062078565822132094,-0.05023550820513885,0.0361387083359285,-0.0,-0.05687547470920203,-0.07637928172441709,-0.033022735563213626,-0.04125487877813343,-0.04337075863345122,-0.047579799920163375,0.100891196391819,0.0751072231529348,-0.04676440480856684,0.04530515861521274,0.04884825404743897,-0.0,-0.0,0.1064632633160403,-0.0,-0.060631725509976774
AATK,-0.10004608055269561,-0.09028633431300087,-0.15863470003268323,-0.11253993653218373,0.12944856719083525,-0.12759633591975925,0.12440164297875973,0.1883483049471999,0.1486055425716709,0.0998900637697432,-0.0,0.08429071732044197,-0.010030634924305821,0.062078565822132094,0.05323634895497996,-0.0361387083359285,-0.0,-0.04038461306197431,-0.05957550247657096,0.033022735563213626,-0.0,0.04337075863345122,-0.04901058354855629,-0.100891196391819,-0.055898620895410374,-0.04676440480856684,0.04530515861521274,0.04884825404743897,-0.0,-0.0,-0.1064632633160403,-0.0,0.060631725509976774
ABAT,-0.10004608055269561,-0.09028633431300087,-0.153984485922394,0.11253993653218373,-0.12669911985076904,-0.13092747332765628,-0.12440164297875973,-0.1883483049471999,-0.13724382682043149,0.0998900637697432,-0.0,0.08429071732044197,0.02602014302071293,-0.062078565822132094,-0.04160002140315695,-0.0361387083359285,-0.0,-0.05687547470920203,0.07737274856693949,-0.033022735563213626,-0.0,-0.0324517849360131,0.04901058354855629,0.100891196391819,0.0751072231529348,0.04676440480856684,0.04530515861521274,-2.861863210768443e-07,-0.0,-0.03097694077081502,0.1064632633160403,-0.0,0.060631725509976774
ABCA1,-0.10004608055269561,0.09028633431300087,0.15863470003268323,0.11253993653218373,-0.12944856719083525,-0.13092747332765628,-0.12440164297875973,0.1883483049471999,-0.1486055425716709,0.0998900637697432,0.07588996795929995,-0.08429071732044197,-0.02602014302071293,0.062078565822132094,0.05323634895497996,0.0361387083359285,0.018993864382282805,0.05687547470920203,-0.0,0.033022735563213626,-0.0,0.04337075863345122,0.04901058354855629,0.100891196391819,0.0751072231529348,0.04676440480856684,-0.0,-0.014560578613785435,-0.0,-0.0,-0.1064632633160403,-0.0,0.060631725509976774
ABCA10,-0.03842771831399501,-0.09028633431300087,0.15863470003268323,-0.11253993653218373,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.08429071732044197,0.8368700975599139,-0.03291415847405841,-0.0,-0.0,-0.0,-0.05687547470920203,-0.0,3.558411496779443,-0.0,0.3720555505555444,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.03097694077081502,-0.0,-0.0,-0.0
ABCA12,0.10004608055269561,0.09028633431300087,0.15863470003268323,-0.11136223336960044,0.12944856719083525,0.13092747332765628,0.12440164297875973,0.1883483049471999,0.1486055425716709,-0.09663817609232533,-0.0,0.08429071732044197,0.02602014302071293,0.062078565822132094,0.05323634895497996,0.0361387083359285,0.018993864382282805,0.05687547470920203,0.07737274856693949,0.033022735563213626,-0.0,-0.04337075863345122,0.04901058354855629,0.100891196391819,-0.0751072231529348,0.04676440480856684,-0.0020596436993279583,-2.861863210768443e-07,-0.0,-0.0,-0.1064632633160403,-0.0,-0.060631725509976774
ABCA2,0.10004608055269561,0.09028633431300087,0.15863470003268323,-0.05597429399279596,0.12944856719083525,0.13092747332765628,0.12440164297875973,0.1883483049471999,0.1486055425716709,0.0998900637697432,-0.07588996795929995,-0.08429071732044197,-0.02602014302071293,0.062078565822132094,0.05323634895497996,-0.0361387083359285,0.018993864382282805,0.05687547470920203,-0.07737274856693949,0.033022735563213626,-0.0,0.04337075863345122,0.04901058354855629,0.100891196391819,-0.0751072231529348,-0.04676440480856684,0.04530515861521274,0.04884825404743897,-0.0,-0.0,-5.323087615374471e-14,-0.0,-1.0094653085004437e-08
ABCA3,0.10004608055269561,-0.09028633431300087,0.15863470003268323,-0.045185192346618754,0.12944856719083525,0.13092747332765628,0.12440164297875973,0.1883483049471999,0.1486055425716709,0.0998900637697432,-0.015161296084475926,-0.04104202095816555,-0.024416788895301356,0.062078565822132094,-0.05323634895497996,0.0361387083359285,0.018993864382282805,0.05687547470920203,0.07737274856693949,-0.033022735563213626,-0.0,0.04337075863345122,0.04901058354855629,0.100891196391819,-0.06935497418252963,0.04676440480856684,0.04530515861521274,0.04884825404743897,-0.0,-0.0,-5.323087615374471e-14,-0.0,0.060631725509976774
ABCA4,0.10004608055269561,0.09028633431300087,0.15863470003268323,-0.11253993653218373,0.12944856719083525,0.13092747332765628,0.12440164297875973,0.1883483049471999,0.1486055425716709,0.0998900637697432,-0.0,0.08429071732044197,-0.02475476050071974,0.062078565822132094,-0.05323634895497996,0.0361387083359285,-0.018993864382282805,-0.051428626913110696,-0.07737274856693949,0.033022735563213626,-0.0,-0.04337075863345122,0.04901058354855629,-0.0,-0.0751072231529348,0.04676440480856684,0.04530515861521274,-0.0,0.06887524316685041,-0.009447254365373721,-5.323087615374471e-14,0.11942029369947411,0.060631725509976774
ABCA5,0.10004608055269561,-0.09028633431300087,0.15863470003268323,-0.11253993653218373,-0.12944856719083525,-0.13092747332765628,-0.12440164297875973,0.1883483049471999,-0.1486055425716709,0.0998900637697432,0.07588996795929995,-0.08429071732044197,0.02602014302071293,-0.062078565822132094,0.05323634895497996,0.0361387083359285,0.20158547019107378,0.05687547470920203,0.07737274856693949,0.033022735563213626,-0.0,-0.04337075863345122,0.04901058354855629,0.100891196391819,-0.0751072231529348,0.04676440480856684,-0.020600456366131774,-0.028670591543283504,-0.0,-0.0,0.1064632633160403,-0.0,-0.060631725509976774
ABCA6,-0.09941730455082771,-0.09028633431300087,0.15863470003268323,-0.11253993653218373,0.12944856719083525,0.13092747332765628,0.12440164297875973,0.1883483049471999,0.1486055425716709,0.0998900637697432,-0.07588996795929995,-0.06613675786410352,0.02602014302071293,-0.062078565822132094,-0.0,0.0361387083359285,0.018993864382282805,0.05687547470920203,0.07737274856693949,0.033022735563213626,-0.0,0.04337075863345122,-0.03830793699879854,-0.006543995412276443,-0.021885970490235496,0.04676440480856684,-0.01066809534357873,-2.861863210768443e-07,-0.0,-0.018286739520145093,-0.04692320483396263,-0.0,-0.05594917398960827
ABCA7,-0.10004608055269561,-0.03875881711926122,0.15863470003268323,-0.0814976289370399,0.12944856719083525,0.13092747332765628,0.12440164297875973,0.1883483049471999,0.1486055425716709,0.0998900637697432,0.07588996795929995,0.08429071732044197,0.02602014302071293,0.062078565822132094,-0.0,-0.03557479528157015,0.5266217440673567,-0.05687547470920203,-0.04327044303515636,0.033022735563213626,-0.0,0.04337075863345122,-0.002396540245868235,-0.06099179695350909,-0.02267528904311231,-0.0015212353012153828,-7.388484183300823e-12,-0.0005243136043108742,-0.0,-0.02934866137883557,0.1064632633160403,0.11942029369947411,0.060631725509976774
