,CONT_ADULTBODYMASS_G,CONT_GEOGRAPHICRANGE_KM2,CONT_GESTATIONLENGTH_D_ALLOMETRIC_RESIDUAL,CONT_LITTERSIZE_ALLOMETRIC_RESIDUAL,CONT_MAXLONGEVITY_M_ALLOMETRIC_RESIDUAL,CONT_MEANPRECIPITATION_MM,CONT_MEANTEMPERATURE_C,CONT_SEXUALMATURITYAGE_D_ALLOMETRIC_RESIDUAL,CONT_WEANINGAGE_D_ALLOMETRIC_RESIDUAL,DISC_AQUATIC_MARINE,DISC_BIPEDAL_SALTATION,DISC_CARNIVORY,DISC_DESERT_OSMOREGULATION,DISC_DIURNALITY,DISC_ECHOLOCATION,DISC_ENAMEL_LOSS_EDENTULISM,DISC_FOREGUT_FERMENTATION,DISC_HERBIVORY,DISC_HIBERNATION,DISC_HIGH_ALTITUDE,DISC_HIGH_SUGAR_FRUGIVORY,DISC_LOSS_GULO_VITAMINC,DISC_LOSS_UCP1_THERMOGENESIS,DISC_MYRMECOPHAGY,DISC_NOCTURNALITY,DISC_PETO_PARADOX_CANCER_RESISTANCE,DISC_PHYSICAL_BODY_ARMOR,DISC_PREHENSILE_TAIL,DISC_SCAR_FREE_REGENERATION,DISC_SPONTANEOUS_MENSTRUATION,DISC_SUBTERRANEAN_VISION_LOSS,DISC_SUBTERRANEAN,DISC_VENOM_RESISTANCE
NT5E,0.04189495833615938,0.0378080000083103,0.06642933048274562,0.04712684321187856,0.05420744420146551,0.05482674593365654,0.052094011287126714,0.07887209918526461,0.06222955442300698,0.04182962527577937,0.031779426322580476,0.035297295713697566,0.01089610709116685,0.02599581027381564,0.022293073442925936,0.015133323281554048,0.007953806411429272,0.023816981436231833,0.032400350515068,0.013828489061479455,0.0,0.01816179220533299,0.020523506212880828,0.04224885618676687,0.03145164675471185,0.019582904000304803,0.007918557726026943,0.020455529659991707,0.0,0.012971798953097571,0.04458219608720991,0.0,0.02538993631791493
NT5M,0.029587028071079362,0.04025599454028841,0.07073050054593287,0.0,0.05771727087752688,0.05837667119344926,0.05546699728881052,0.08397891434313394,0.06625879714733704,0.04453801222899809,0.00675997156208028,0.037582727021403695,0.009003832363047588,0.027678988473949298,0.023736506628423016,0.01611317655693911,0.0,0.025359084703035266,0.03449821025051093,0.009129670076926388,0.0,0.01933773295860757,0.021852363358858075,0.04498438752682193,0.013076325719436871,0.02085085898079732,0.02020022444967382,0.02177998545626152,0.0,0.013811697728492259,0.047054222976253134,0.053245961614740454,0.027033885356739156
NTAN1,0.0450123999020348,0.04062132732571204,0.07137239676720228,0.05063359404137878,0.05824106892493654,0.058906453456548435,0.05597037356481647,0.08474104309052148,0.06686011158999551,0.0449422053498156,0.006821319921954675,0.03775293023197351,0.011706896229078842,0.02793018191910878,0.019523207785984525,0.016259407490761348,0.00854565630694558,0.025589224466222128,0.03437722164426792,0.010563228719931242,0.0,0.009486094154683024,0.021536366980185035,0.04539263161030376,0.033092768240398196,0.021040085516544845,3.3242022365226473e-12,0.004831165227595436,0.0,0.013937042191104638,0.04789959743333612,0.0,0.026413999912884144
NTAQ1,0.04934036925985832,0.04452709241094255,0.078234895698056,0.0555020446008802,0.0638409827758445,0.06457034443087692,0.06135195868939701,0.09288894541619153,0.0732887515836849,0.049263425459170875,0.007477193940367019,0.04157019540189159,0.012832521351599414,0.02661178416771349,0.0020414922723886253,3.024301360605229e-06,0.0,0.02804964380892131,0.038158416240326246,3.979923620557617e-06,0.0,0.021389436090177884,3.0991715524808696e-05,0.04975716047585943,0.03704111249512148,5.258426471977094e-05,0.0044871041365385465,1.411403493374675e-07,0.0,0.015277097190906318,0.052505172572514365,0.0,0.02990213818470294
NTF3,0.028370510116556,0.025602895654313895,0.044984744402291374,0.03191344818572068,0.03670830346149247,0.037127683424049006,0.03527712481236225,0.05341076293464786,0.042140731806932216,0.02832626774649361,0.09527885212017795,0.023902691992134503,0.23618733622586754,0.017603893825210253,0.015096467230420354,0.03500983047523956,0.0,0.01612843023641934,0.0,0.009364403364897866,0.027629859630503895,1.391013593561739e-07,0.013898148220311917,0.028610163357653064,0.021298487881935856,0.013261189367806958,0.01284738446248343,0.013852115724803623,0.0,0.008784268275811876,0.030190259051261804,0.0,0.01719360691055773
NTF4,0.026207765208446122,0.023651131939747393,0.04155546073770529,0.02948061750060664,0.03390995066238769,0.03429736038983544,0.032587873834947864,0.0493391457835779,0.03892825332963192,0.02616689552925824,0.0,0.02208053845369883,0.006816157066921288,0.01626191119687667,0.013945631115775169,0.009466785482972227,0.4003189674168127,0.014898925365822546,0.020268328521939792,0.008650534787571827,0.0,0.00668517741787757,0.012838662537039162,2.2368816786832645e-14,0.019674858415005127,0.012250260425645698,0.011868000756846383,0.012796139197512173,0.0,0.0,0.027888790774188724,0.03128297481629998,0.01588290133476509
NTHL1,0.04107338201953512,0.037066570523251054,0.0643884161101619,0.046202667611810556,0.05314441528081812,0.05275631642277646,0.05107242760232996,0.07732538685264667,0.06100920882204488,0.04100933016570675,0.0,0.03460510210971855,0.01068243022203919,0.02548602239239434,0.021855897661092895,0.014836552966133726,0.007797829195216017,0.023002285401266122,0.02474879452908867,0.013557307049160723,0.0,0.017805632444446582,0.020121032327997154,0.04142033979658459,0.03083486781235875,0.019198875688156068,0.01859978998655663,0.02005438882156893,0.0,0.012717416964736028,0.04370792200023136,0.049027361360948644,0.024892029858812597
NTM,0.0403593340275912,0.03642217970493988,0.06348658714990779,0.045399448582635525,0.05221520807935046,0.023465629496914372,0.030254327778015143,0.07305564127195799,0.026459937948842664,0.040296395695351685,0.03061457829524192,0.03400350315541995,0.010496719489830667,0.02504295580724506,0.021475939667139222,0.014578624099993633,0.007662266356107284,0.022943990100216395,0.031212743035956957,0.013121674318381567,0.0,0.01749608705356054,0.0197712344291338,3.4447444920287234e-14,0.030298813210553634,0.01886510919612021,0.0,1.1544969340787048e-07,0.20359359360122947,0.0,0.04294807334882341,0.0,0.02445928964940788
NTMT1,0.042384006697576464,0.028004961313987355,0.06720477355544062,0.0476769644285319,0.05484021871219832,0.05546674967934694,0.05270211526601583,0.07979278922530668,0.06295597265639188,0.04231791099110742,0.032150394023398525,0.03462805582801735,0.011023299563253902,0.02086425975383697,0.022553305019019993,0.015309977639203838,0.00804665280982707,0.02409500189997907,0.03277856639015235,0.013989911824145234,0.0,0.018373798496093507,0.020763081271135027,0.04274203566970363,0.03181878821803167,0.019811499217807886,0.018906369332403947,0.020694311214131678,0.0,0.007315297978998865,0.0451026131209227,0.0,0.025686318203609355
NTMT2,0.036167547047893274,0.2482797387558774,0.0,0.08930349714877693,0.04679680721416089,0.04733144492297867,0.04444431506909975,0.06808958574824707,0.05372222402763384,0.033545539469536395,0.0,0.03047184325009139,0.008836333035787772,0.02244195312434163,0.019245413162119356,0.0014116478749566274,0.08865331215860178,0.006600016697358416,0.02797093607825701,0.011938012319269083,0.0,0.01567891460327584,0.01573395088661338,3.086967649125403e-14,0.02715192851147828,3.8545391872015575e-05,2.6710026803238707e-12,0.01765907786400124,0.0,0.0,0.038487415634708644,0.0,0.0
NTN1,0.041657696598644246,0.03759388374873637,0.06605312439499066,0.046859951988014924,0.05390045374465931,0.054516248214619714,0.05179898973505969,0.078425426553584,0.06187713272852228,0.03660026415480366,0.03159945139943986,0.03509739820709498,2.2993829613577043e-05,0.022240531470511388,0.020917316777703518,0.015047619447041322,0.0,0.023682099850896803,0.03221685914129404,0.003908057416642923,0.017177916554643326,2.0424878511919787e-07,0.020407276410122722,0.04200959023628023,0.0312735281301065,0.01947200106560265,0.016858400203578688,0.02033968482563289,0.0,0.012898336377156719,0.044329715843142874,0.04972483014997674,0.011493016552681668
NTN3,0.04876178462869365,0.04072447418512048,0.08027218934623997,0.05694735825430412,0.06550344845107237,0.06625180321466291,0.06294960836511147,0.09530784118890766,0.07519724403775595,0.05054628092769612,0.014676659398015546,0.030423265152336516,0.007727153394819132,0.03141294047891497,0.026938609790520075,0.018286876942261176,0.0,0.028780076957145708,0.004958785248536664,0.012818149514221323,0.0,0.021946432579991564,0.024800291750599775,0.023009209265496437,0.037970769451539294,0.023663682389061705,0.009731991239855195,0.0247181499213059,0.0,0.015674923925281272,2.6935840448522898e-14,0.0,0.0
NTN4,0.035998586148433466,0.039314583769410584,0.06886826609734666,0.04900476684389637,0.05636751760251098,0.056683461756875046,0.0541698680221698,0.08201501665802943,0.06470929511634177,0.043496463885585424,0.03304578179296132,0.03670383222769785,0.010332393434874918,0.0270316985939216,0.01488118963349017,0.003144404276743871,0.00827075191438528,0.024766047175291468,0.033691448746374315,0.00608442497334038,0.017964162571901605,0.018885508381883406,0.004432720547288741,0.043932400427193596,0.03270494077317609,0.006252886973651164,0.019727829987973452,0.02127064732830727,0.0,0.013488702826634887,0.04635871990874016,0.0,0.02640168160313322
NTN5,0.042773692267667404,0.03860101123947515,0.06782266536266521,0.048115314327731036,0.05275989404527506,0.05597672015297665,0.053186667233435424,0.08052641733131083,0.060608152709131884,0.04270698886633743,0.03244599006539266,0.03603764569054259,0.011124649603264054,0.026541064439755,0.02276066383685149,0.015450740106683203,0.008120635067094423,0.024316535334010746,0.033079937952818717,0.0131763157706798,0.0,0.018542730239446026,0.020953980475632593,0.04313501301740088,0.032111335421386465,0.019993649419466127,0.014447812728926163,1.2235607393444234e-07,0.0,0.013243878466850158,0.04551729400826842,0.0,0.02592248246302288
NTNG1,0.03156496660502339,0.02857755028814119,0.05021126565967368,0.03562128997864952,0.040973232181508897,0.04144133751348446,0.03937577303590864,0.05961625529789279,0.047036823437928775,0.031617335473707604,0.2562833657725724,0.026679809645362502,0.008235930180764638,0.019649189992003102,0.016850439781326932,0.010417727486197109,0.0060119631468154525,0.018002300691812204,0.022706115031453436,0.007034996458805174,0.013058048949313814,0.013727770047518842,0.00546774755875951,0.03193421529910052,0.023645850763228667,0.0033749693061391876,0.014120390808989487,0.015461514161036999,0.0,0.009804862379081722,0.03369789331247284,0.037799069755010434,0.0
NTNG2,0.01602577187035276,0.03920417062572949,0.06888242716425357,0.0,0.056209212103042985,0.056851383357070975,0.0540177345173056,0.08178468137401923,0.06452756213040738,0.04337430612996001,0.03295297428227875,0.036600751255884106,0.011298477609617873,0.02695578135063345,0.022420518423399906,0.015692165360081542,0.0,0.024696492906544364,0.03317790312891448,0.013406550486680066,0.017913711073424717,0.018832469327402006,0.021281396509499166,0.04380901836446914,0.03261309049833025,0.02030605981819934,0.009303781605102712,0.0,0.0,0.013450820444565066,0.046228523642841045,0.051854730906876076,0.026327533732679678
NTPCR,0.04163353349371896,0.037572077815337765,0.06601481098100677,0.046832771370046794,0.053869189358346725,0.054484626643258385,0.05176894428064942,0.07837993671700273,0.0618412415541974,0.04156860811210734,0.0,0.03507704033364717,0.010828115304263372,0.02583359623005378,0.022153964503717385,0.015038891235035804,0.0,0.008713375060297748,0.03219817209396893,0.013742199189913545,0.0,0.01804846249086907,0.02039543938596155,0.04198522301918402,0.03125538825192571,0.019460706537981824,0.018853450612202803,0.020327887007253152,0.0,0.012890854833992065,0.04430400286180485,0.04969598778982702,0.025231502932011447
NTRK1,0.04033167927638181,0.03639722274411503,0.06395056966227979,0.04536834027805504,0.052184733933460015,0.0527809268843545,0.05015016218882857,0.0759290457498682,0.059907505107473676,0.04026878407032269,0.030593600779964876,0.03398020350386059,0.01048952699835379,0.025025796041627434,0.021461224068312034,0.013444617241382984,0.0,0.022928268573752696,0.031191355650262445,0.013112683173025271,0.0,0.017484098502553398,0.019757686916955668,0.0406723716931823,0.030278052061702553,0.01885218257297524,0.018263915155296247,0.01969224685833478,0.0,0.0,0.04291864475908077,0.04814202573424789,0.02444252981958635
NTRK2,0.045741851707448114,0.04127961927683029,0.07252902746878274,0.05145414052786769,0.059184898913316596,0.059861066383606165,0.05687740563010004,0.08611432038765564,0.06777680327082242,0.04423980123176836,0.034697487810618245,0.03853837622309733,0.01189661320948143,0.028382806566333938,0.020291883238677342,0.016187453102607927,0.0,0.026003912552763554,0.035375426719315456,0.01509825337246649,0.0,0.013229024727851054,0.022408022707024026,3.90415242275074e-14,0.034339610753768714,0.021381052192382993,0.02071387340224634,1.3084662774472312e-07,0.0,0.0,0.04867583793378405,0.0,0.027721299842258844
